trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,sigma_scale_Prosody,sigma_scale_Vocal_Tract,sigma_scale_Timbre,sigma_scale_Voice_Quality,sigma_scale_Scene
0,0.8296835697889329,-0.056435653902590276,2.0816922187805176,0.43155381858348846,-0.056435653902590276,2.0816922187805176,-0.48042440325021746,3.2558860139846804,0.3279977423740011,0.40581311290499433,,False,0.9850437641143799,-0.05983888413757086,2.1024698400497437,0.8618423800718559,0.9826144981384277,-0.06185013085603714,2.120437784194946,0.48837897946889447,0.7640802478790283,-1.1847760963439942,5.16487154006958,0.17818182166767027,0.9851255202293396,-0.056435653902590276,2.0816922187805176,0.10863418255237318,0.43155381858348846,-1.0392212510108947,4.8099586868286135,0.002951348109211645,0.6446067917131442,0.2472010671271316,0.13781642084590057,0.019811507008137993,0.01980941314259345
1,0.9858446841239928,-0.015101791778579354,1.5574125289916991,0.9536032032966614,-0.015101791778579354,1.5574125289916991,-0.14056410303525627,2.312546320915222,0.4652090378539168,0.10517943155978948,,False,0.9980131983757019,-0.01519928814843297,1.5656862831115723,0.7536295325479885,0.9965156865119934,-0.015101791778579354,1.5574125289916991,0.23614737350637113,0.9536032032966614,-0.44712360501289367,3.7074917697906495,0.4018108897884197,0.9954499554634094,-0.017288286648690702,1.595828309059143,0.04761601486951753,0.9856413769721984,-0.20810754358768463,3.136312713623047,0.8868413785572872,0.44505240269526736,0.13930796876870888,0.22260034488269825,0.010943951128356732,0.7011738775284215
2,0.9107881989479064,-0.00422893694601953,1.3240080499649047,0.7441851329803467,-0.00422893694601953,1.3240080499649047,-0.261457305688411,2.143849546432495,0.07148893980423104,0.8408205087604007,,False,0.998978135585785,-0.00422893694601953,1.3240080499649047,0.0177332186236674,0.9968782520294189,-0.008087644018232823,1.4492305183410645,0.0031832908534911424,0.7441851329803467,-0.3236143672466278,2.8921382331848147,0.0002084107445052601,0.997756359577179,-0.004631058117374778,1.3365446519851685,0.19415355937412535,0.816143114566803,-0.9667245221138,3.7173262786865235,0.14216621942536609,0.025357149746909252,0.022183459467487607,0.02233753707146985,0.0379315304811478,0.09969163314376206
3,0.8996341869831085,-0.00948149299249053,1.4211350727081298,0.6107251965999603,-0.00948149299249053,1.4211350727081298,-0.21216228076070545,2.07259610748291,0.10379451812736297,0.46034776771000996,,False,0.9976119232177735,-0.00948149299249053,1.4216010141372681,0.033419053418506574,0.9976080942153931,-0.009497083816677332,1.4211350727081298,0.2644260878149681,0.6107251965999603,-0.3549541670084,2.8214431476593016,0.00011784794409189494,0.99729816198349,-0.010367337726056575,1.436929326057434,0.18589623925152993,0.8949275588989258,-0.676511322259903,3.261871976852417,0.03511336220771838,0.03582904732228081,0.14601958757320885,0.01842762515380366,0.035973074355814795,0.049798877730035475
4,0.8113199986219405,-0.059636581167578695,2.0798396396636964,0.3620827788114548,-0.059636581167578695,2.0798396396636964,-0.48655227667093276,3.2787691946029662,0.2347604741096755,0.4832664850061841,,False,0.9840341997146607,-0.06506677813827992,2.1230377197265624,0.617227067194888,0.9710062074661255,-0.10798952877521514,2.3685265398025512,0.005344343008661142,0.7552127432823181,-1.0914633345603943,4.960635223388672,0.08189036942887024,0.9842640638351441,-0.059636581167578695,2.0798396396636964,0.46904148828864933,0.3620827788114548,-1.1086051607131957,4.86180685043335,0.00029910262730862186,0.3120761001246059,0.023988173178435747,0.0951994437281987,0.13409674439039196,0.012257426996771148
5,0.9115855751037597,-0.07647362142801285,2.455061001777649,0.8275307106971741,-0.07647362142801285,2.455061001777649,-0.47941421106457716,3.7333001451492316,0.4811323629947523,0.6271676093063665,,False,0.9709499549865722,-0.09882744446396828,2.5730643463134766,0.009911465474062752,0.8690369987487793,-0.29897102802991865,3.5055458545684814,0.0009360245351232016,0.9116417670249939,-0.7710946953296661,4.518793039321899,0.9040638751044956,0.9787684440612793,-0.07647362142801285,2.455061001777649,0.8454334911120442,0.8275307106971741,-1.1517042660713195,5.614036483764648,0.6453169587480359,0.02111167795251689,0.013298389079948765,0.6394617395245432,0.6881524386672039,0.3455038560200077
6,0.9313999276161193,-0.03964767072349787,1.917656421661377,0.8128957772254943,-0.03964767072349787,1.917656421661377,-0.375137277200818,2.833013415336609,0.12945549009277554,0.33938308071470213,,False,0.9879957914352417,-0.041556294709444046,1.9677096223831176,0.005447817950884816,0.9891993641853333,-0.0396583329513669,1.926380672454834,0.3932973203235592,0.8128957772254943,-0.9563709831237793,4.470922288894653,0.037819931614311644,0.9888296627998352,-0.03964767072349787,1.917656421661377,0.08674529098712347,0.8780790424346924,-0.7984531044960022,3.8823980712890624,0.12396708958799861,0.015341888502386696,0.20051968861243996,0.0688097220539007,0.017070637605872362,0.08757219176818286
7,0.9726501789093018,-0.04133856810629368,2.3681923866271974,0.945409243106842,-0.04133856810629368,2.3681923866271974,-0.2444803143441677,3.368523425102234,0.2939631076004632,0.08266909505945748,,False,0.9919352149963379,-0.04276897989213466,2.386289954185486,0.8074929867326497,0.9822616505622864,-0.0695930652320385,2.6891978359222413,0.00972865017204741,0.9541592383384705,-0.512451274394989,4.65390007019043,0.2994879670519756,0.989485547542572,-0.04133856810629368,2.3681923866271974,0.20494445920476168,0.945409243106842,-0.5562496840953827,4.7450368785858155,0.14816147484088157,0.537673400929284,0.031080041628153792,0.18232218861172397,0.039193516226890844,0.09766439040435951
8,0.9036542658805848,-0.09102184444665909,2.739987840652466,0.7639441776275635,-0.09102184444665909,2.739987840652466,-0.6264258986711502,4.089213022232056,0.6170315764280041,0.5693747653761156,,False,0.9636691999435425,-0.12705944448709489,2.9457880878448486,0.01240802676540256,0.9748034954071045,-0.09675665378570557,2.76070294380188,0.87795798976361,0.7639441776275635,-1.608681216239929,6.355457992553711,0.5644469983012532,0.9749249863624573,-0.09102184444665909,2.739987840652466,0.824506795832831,0.8409294700622558,-1.2086103343963623,5.644128246307373,0.8058380714769234,0.022479914927288545,0.7001753169203452,0.29863968217735326,0.6136928005932464,0.5045880612021502
9,0.8500982250571251,-0.02736042261123657,1.6662542486190797,0.3817927834391594,-0.02736042261123657,1.6662542486190797,-0.2225062556117773,2.012681009292603,0.18165782859517726,0.6180049798705309,,False,0.9944229054450989,-0.02736042261123657,1.6662542486190797,0.8282675088067388,0.9903919434547425,-0.036915818229317665,1.716011266708374,0.0011682570980622183,0.3817927834391594,-0.51390245616436,2.5110175609588623,0.0010550393371089517,0.9926861071586609,-0.02770336702466011,1.671033387184143,0.055433544416394726,0.8911973857879638,-0.5066492140293122,2.4990885829925538,0.02236479331758165,0.5680801652040023,0.014737003768595706,0.02360331612789734,0.012191905861905931,0.04160378994089616
10,0.9419751400947569,-0.06314748398959637,1.8287157964706422,0.8773310565948487,-0.06314748398959637,1.8287157964706422,-0.2962924411892891,2.285555994987488,0.6808566592595875,0.9478797170188673,,False,0.9831144976615905,-0.06580010801553726,1.8484485387802123,0.13674330450230493,0.9826466464996337,-0.0633184839040041,1.8301677751541137,0.8809122791249085,0.885119104385376,-0.6014156174659729,2.9897836589813234,0.9017492265101904,0.9816643953323364,-0.06314748398959637,1.8287157964706422,0.863085559888263,0.8773310565948487,-0.6877805125713349,2.9306642055511474,0.6217929262722712,0.07957643629071184,0.7000295411328058,0.627287836649605,0.7454202201962041,0.3157441807333186
11,0.8999581127166749,-0.10567497104406356,2.338508448600769,0.8275290131568909,-0.10567497104406356,2.338508448600769,-0.5292735835909843,3.406781029701233,0.6750106689382734,0.704923999312045,,False,0.8391029477119446,-0.4438658744096756,3.3896310901641846,0.003200929506842327,0.9578448152542114,-0.16858432471752166,2.5948416233062743,0.8601299746032847,0.9043855404853821,-0.8469038677215576,4.149491758346557,0.94736119395518,0.9709282469749451,-0.10567497104406356,2.338508448600769,0.8722278871233868,0.8275290131568909,-1.0813388800621033,4.561432228088379,0.6921333595026732,0.010479194763913001,0.6340940310231447,0.7815802800360755,0.7737582648466927,0.37283932042283363
12,0.9022916226387026,-0.08144074186682701,2.251397280693054,0.7893606376647949,-0.08144074186682701,2.251397280693054,-0.555157664090395,3.448131604194641,0.4055297072818713,0.7118855225127911,,False,0.9740349388122559,-0.08655285835266113,2.2924361085891722,0.07287270665658077,0.9762518858909607,-0.09311779171228408,2.3279908990859983,0.036519035071756356,0.7948106265068055,-1.2699170923233032,5.3101764488220216,0.7263970590891671,0.977000024318695,-0.08144074186682701,2.251397280693054,0.6430575791119554,0.7893606376647949,-1.2447598361968994,5.058657283782959,0.5488021564798966,0.05481874826983419,0.0524980942020717,0.39371383691097117,0.28166760706879157,0.2772547090288614
13,0.951644079208374,-0.16381371062248945,2.6403363513946534,0.9241178154945373,-0.16381371062248945,2.6403363513946534,-0.3215423257276416,3.3210516805648806,0.5267797756402657,0.27670274138500534,,False,0.9757635188102722,-0.1716735266149044,2.6403363513946534,0.3644486712103162,0.9581353545188904,-0.16381371062248945,2.667832236289978,0.046868890051518564,0.9241178154945373,-0.6145917534828186,4.518544988632202,0.6956200985582646,0.9509766626358033,-0.16610500901937486,2.650762710571289,0.6637965403957561,0.949227044582367,-0.4915276288986206,4.127782115936279,0.8631646779854728,0.16948174439424288,0.058106480136913746,0.37547728750399245,0.3029505207679533,0.6208283659278747
14,0.9802910084724427,-0.05172491066157818,2.1480752849578857,0.9607026863098145,-0.05172491066157818,2.1480752849578857,-0.16887377144396304,2.825332505226135,0.5663735081720794,0.15767075540338954,,False,0.9894419264793396,-0.05553755033761263,2.17722713470459,0.49848002321630114,0.9860647773742676,-0.057994851730763915,2.1976245737075804,0.04936729229394309,0.9607026863098145,-0.407554976940155,4.086004724502564,0.7012615282536838,0.9861639952659607,-0.05172491066157818,2.1480752849578857,0.6693712749071113,0.9790816569328308,-0.27155656754970553,3.5177308082580567,0.9133874221893579,0.22518822847546788,0.061699947639426204,0.3778959592898515,0.31395313772394184,0.7720600890618742
