number,value,datetime_start,datetime_complete,duration,params_alpha_mult_Prosody,params_alpha_mult_Scene,params_alpha_mult_Timbre,params_alpha_mult_Vocal_Tract,params_alpha_mult_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9178621559143066,2026-07-30 19:21:56.865395,2026-07-30 19:31:32.023444,0 days 00:09:35.158049,2.1408571676918995,0.9559945203362027,1.5986584841970366,2.7443897010793887,2.812037280884873,0.40581311290499433,2.366110529899597,3.4692949972152705,"{""Prosody"": {""alignment"": 0.9846355986595153, ""uniformity"": -0.05929195508360863, ""effective_rank"": 2.39722366809845, ""weight_entropy_ratio"": 0.8706414072263285}, ""Vocal_Tract"": {""alignment"": 0.9840834188461304, ""uniformity"": -0.05637309603393078, ""effective_rank"": 2.366110529899597, ""weight_entropy_ratio"": 0.9278002641255928}, ""Timbre"": {""alignment"": 0.8147169613838195, ""uniformity"": -0.802842298746109, ""effective_rank"": 5.043239459991455, ""weight_entropy_ratio"": 0.8557910494862702}, ""Voice_Quality"": {""alignment"": 0.9823894906044006, ""uniformity"": -0.059918670505285265, ""effective_rank"": 2.42476722240448, ""weight_entropy_ratio"": 0.8599941420059836}, ""Scene"": {""alignment"": 0.8234853100776672, ""uniformity"": -0.9399976301193237, ""effective_rank"": 5.115134105682373, ""weight_entropy_ratio"": 0.6203110041678248}}",-0.05637309603393078,0.8147169613838195,2.366110529899597,-0.05637309603393078,-0.38368473009765147,0.8269075734024,"[0.29070804491639135, 0.13388947010040297]",COMPLETE
1,0.9911303544044496,2026-07-30 19:31:36.480096,2026-07-30 19:49:12.377784,0 days 00:17:35.897688,2.039411374929922,1.7699098521619945,1.7080725777960455,2.521895519963455,2.541168988591605,0.10517943155978948,1.516154146194458,1.764400555610657,"{""Prosody"": {""alignment"": 0.9978679180145263, ""uniformity"": -0.008594977110624314, ""effective_rank"": 1.553350419998169, ""weight_entropy_ratio"": 0.8603977842523026}, ""Vocal_Tract"": {""alignment"": 0.9981577014923095, ""uniformity"": -0.007311801202595234, ""effective_rank"": 1.516154146194458, ""weight_entropy_ratio"": 0.9102372411887358}, ""Timbre"": {""alignment"": 0.9809846925735474, ""uniformity"": -0.12431484028697014, ""effective_rank"": 2.1011148643493653, ""weight_entropy_ratio"": 0.8832394242905434}, ""Voice_Quality"": {""alignment"": 0.9981487226486206, ""uniformity"": -0.007445532064884901, ""effective_rank"": 1.5224978160858154, ""weight_entropy_ratio"": 0.8291016992530104}, ""Scene"": {""alignment"": 0.9804927372932434, ""uniformity"": -0.14298053562641144, ""effective_rank"": 2.128885531425476, ""weight_entropy_ratio"": 0.8547966363764218}}",-0.007311801202595234,0.9804927372932434,1.516154146194458,-0.007311801202595234,-0.0581295372582972,0.8675545570722027,"[0.3414050228893757, 0.9838458538055419]",COMPLETE
2,0.7775434060096741,2026-07-30 19:49:16.022801,2026-07-30 20:07:51.892082,0 days 00:18:35.869281,1.2548069328139313,1.3247564316322378,1.1834045098534338,1.8091024442520711,3.1084844859190754,0.8408205087604007,3.2749722671508787,4.2828883342742925,"{""Prosody"": {""alignment"": 0.7577997660636902, ""uniformity"": -1.0315060830116272, ""effective_rank"": 4.350707130432129, ""weight_entropy_ratio"": 0.6963837267657966}, ""Vocal_Tract"": {""alignment"": 0.8634002923965454, ""uniformity"": -0.4112871015071869, ""effective_rank"": 3.428795156478882, ""weight_entropy_ratio"": 0.8336899458147837}, ""Timbre"": {""alignment"": 0.6815817141532898, ""uniformity"": -1.4031239414215089, ""effective_rank"": 5.34698091506958, ""weight_entropy_ratio"": 0.7302443250332624}, ""Voice_Quality"": {""alignment"": 0.8815508580207825, ""uniformity"": -0.35667401790618897, ""effective_rank"": 3.2749722671508787, ""weight_entropy_ratio"": 0.8690701722716021}, ""Scene"": {""alignment"": 0.7033843994140625, ""uniformity"": -1.1919660353660584, ""effective_rank"": 5.01298620223999, ""weight_entropy_ratio"": 0.745464838167603}}",-0.35667401790618897,0.6815817141532898,3.2749722671508787,-0.35667401790618897,-0.8789114358425141,0.7749706016106096,"[-0.05667401790618898, -0.7749722671508787]",COMPLETE
3,0.9133506817817688,2026-07-30 20:07:56.883091,2026-07-30 20:26:36.722048,0 days 00:18:39.838957,1.3494749682376503,1.1663618432936917,1.139493860652042,2.5401499210280454,3.0842892970704363,0.46034776771000996,1.490437731742859,2.8383082923889162,"{""Prosody"": {""alignment"": 0.9988360285758973, ""uniformity"": -0.004780729245394469, ""effective_rank"": 1.4959993934631348, ""weight_entropy_ratio"": 0.7407875388610127}, ""Vocal_Tract"": {""alignment"": 0.9987736988067627, ""uniformity"": -0.0049812766164541245, ""effective_rank"": 1.5038462686538696, ""weight_entropy_ratio"": 0.9133438694860732}, ""Timbre"": {""alignment"": 0.7926467537879944, ""uniformity"": -0.9728508639335632, ""effective_rank"": 4.947641735076904, ""weight_entropy_ratio"": 0.7279923572519768}, ""Voice_Quality"": {""alignment"": 0.9988595151901245, ""uniformity"": -0.004632325330749154, ""effective_rank"": 1.490437731742859, ""weight_entropy_ratio"": 0.8685976020775072}, ""Scene"": {""alignment"": 0.7776374125480652, ""uniformity"": -0.9581482291221619, ""effective_rank"": 4.7536163330078125, ""weight_entropy_ratio"": 0.7102260308210013}}",-0.004632325330749154,0.7776374125480652,1.490437731742859,-0.004632325330749154,-0.38907868484966457,0.7921894796995143,"[0.3452192707546055, 1.009562268257141]",COMPLETE
4,0.9011902246475221,2026-07-30 20:26:40.964664,2026-07-30 20:45:23.051868,0 days 00:18:42.087204,1.9422111536716165,0.8464504127199978,1.5142344384136117,1.8394454296692115,3.684829137724085,0.4832664850061841,1.9818056726455688,3.0618100318908694,"{""Prosody"": {""alignment"": 0.9907140612602234, ""uniformity"": -0.03660395335406065, ""effective_rank"": 2.0501905918121337, ""weight_entropy_ratio"": 0.8404307216090398}, ""Vocal_Tract"": {""alignment"": 0.9915419697761536, ""uniformity"": -0.03278939723968506, ""effective_rank"": 1.9818056726455688, ""weight_entropy_ratio"": 0.839414756574829}, ""Timbre"": {""alignment"": 0.7562187027931213, ""uniformity"": -1.0916340517997742, ""effective_rank"": 4.570102310180664, ""weight_entropy_ratio"": 0.8336039038482501}, ""Voice_Quality"": {""alignment"": 0.990469753742218, ""uniformity"": -0.036682195775210855, ""effective_rank"": 2.027311806678772, ""weight_entropy_ratio"": 0.9010130543908559}, ""Scene"": {""alignment"": 0.7770066356658936, ""uniformity"": -1.129491801261902, ""effective_rank"": 4.679639778137207, ""weight_entropy_ratio"": 0.5630866950663567}}",-0.03278939723968506,0.7562187027931213,1.9818056726455688,-0.03278939723968506,-0.4654402798861266,0.7955098262978663,"[0.31339604664593934, 0.5181943273544312]",COMPLETE
5,0.9245270695686341,2026-07-30 20:45:30.466241,2026-07-30 21:04:10.163707,0 days 00:18:39.697466,1.2046289484247499,1.608397348116461,1.9488855372533331,1.610587708074975,4.431264066149119,0.6271676093063665,1.5581929445266725,2.33655913066864,"{""Prosody"": {""alignment"": 0.9938884806632996, ""uniformity"": -0.02435757976025343, ""effective_rank"": 1.5581929445266725, ""weight_entropy_ratio"": 0.6890708409486395}, ""Vocal_Tract"": {""alignment"": 0.9927430176734924, ""uniformity"": -0.027717998437583446, ""effective_rank"": 1.5916823577880859, ""weight_entropy_ratio"": 0.7925392221091094}, ""Timbre"": {""alignment"": 0.8201761627197266, ""uniformity"": -0.5656374216079711, ""effective_rank"": 3.47182635307312, ""weight_entropy_ratio"": 0.9180064095339848}, ""Voice_Quality"": {""alignment"": 0.9931372022628784, ""uniformity"": -0.026253759562969207, ""effective_rank"": 1.5772672271728516, ""weight_entropy_ratio"": 0.9312551874492037}, ""Scene"": {""alignment"": 0.8226904845237732, ""uniformity"": -0.6217543303966522, ""effective_rank"": 3.483826770782471, ""weight_entropy_ratio"": 0.8258403427322811}}",-0.02435757976025343,0.8201761627197266,1.5581929445266725,-0.02435757976025343,-0.2531442179530859,0.8313424005546436,"[0.32564242023974654, 0.9418070554733275]",COMPLETE
6,0.9546724662780761,2026-07-30 21:04:14.670078,2026-07-30 21:22:30.750034,0 days 00:18:16.079956,1.1172065368076607,1.2951769101112702,1.4401524937396013,2.6631961450706667,2.7440764696895577,0.33938308071470213,1.5906083297729492,2.431605968475342,"{""Prosody"": {""alignment"": 0.9966376304626465, ""uniformity"": -0.01348547950387001, ""effective_rank"": 1.6165282249450683, ""weight_entropy_ratio"": 0.6617492641049997}, ""Vocal_Tract"": {""alignment"": 0.9967906832695007, ""uniformity"": -0.012534159906208516, ""effective_rank"": 1.5906083297729492, ""weight_entropy_ratio"": 0.9241887458039816}, ""Timbre"": {""alignment"": 0.8923555064201355, ""uniformity"": -0.49914844155311583, ""effective_rank"": 3.6819775676727295, ""weight_entropy_ratio"": 0.8251557175310458}, ""Voice_Quality"": {""alignment"": 0.996686372756958, ""uniformity"": -0.013038636278361082, ""effective_rank"": 1.6017374897003174, ""weight_entropy_ratio"": 0.8505527303171525}, ""Scene"": {""alignment"": 0.8908921384811401, ""uniformity"": -0.5286416125297546, ""effective_rank"": 3.6671782302856446, ""weight_entropy_ratio"": 0.7489373358736238}}",-0.012534159906208516,0.8908921384811401,1.5906083297729492,-0.012534159906208516,-0.21336966595426204,0.8021167587261607,"[0.33651452049612995, 0.9093916702270508]",COMPLETE
7,0.9913117346763611,2026-07-30 21:22:35.188530,2026-07-30 21:41:09.454339,0 days 00:18:34.265809,2.0911844824945387,1.3200680211778109,1.662522284353982,1.9399259687200288,3.123422152178822,0.08266909505945748,1.619506335258484,1.8662486181259157,"{""Prosody"": {""alignment"": 0.9967825055122376, ""uniformity"": -0.013007386662065983, ""effective_rank"": 1.6229805278778076, ""weight_entropy_ratio"": 0.8642251026393624}, ""Vocal_Tract"": {""alignment"": 0.996796658039093, ""uniformity"": -0.013102226257324219, ""effective_rank"": 1.6201265716552735, ""weight_entropy_ratio"": 0.8603934200048831}, ""Timbre"": {""alignment"": 0.9834785437583924, ""uniformity"": -0.1368327847123146, ""effective_rank"": 2.189383068084717, ""weight_entropy_ratio"": 0.8691289077681253}, ""Voice_Quality"": {""alignment"": 0.9967645502090454, ""uniformity"": -0.013049248419702054, ""effective_rank"": 1.619506335258484, ""weight_entropy_ratio"": 0.8715422859512094}, ""Scene"": {""alignment"": 0.9827364158630371, ""uniformity"": -0.18284594416618347, ""effective_rank"": 2.279246587753296, ""weight_entropy_ratio"": 0.7527596869368799}}",-0.013007386662065983,0.9827364158630371,1.619506335258484,-0.013007386662065983,-0.07176751804351807,0.843609880660092,"[0.336992613337934, 0.880493664741516]",COMPLETE
8,0.8801121153831482,2026-07-30 21:41:13.955198,2026-07-30 21:59:47.861415,0 days 00:18:33.906217,1.2218253466306326,1.6948273504276488,1.7751328233611146,3.14829386719975,4.3789978831283785,0.5693747653761156,2.4842562103271484,3.745680932998657,"{""Prosody"": {""alignment"": 0.9378419137001037, ""uniformity"": -0.3413981440663338, ""effective_rank"": 2.899020233154297, ""weight_entropy_ratio"": 0.6923045250102553}, ""Vocal_Tract"": {""alignment"": 0.9705952405929565, ""uniformity"": -0.10462241560220718, ""effective_rank"": 2.4842562103271484, ""weight_entropy_ratio"": 0.9483180690128554}, ""Timbre"": {""alignment"": 0.7327121925354004, ""uniformity"": -0.9146821594238281, ""effective_rank"": 5.613129062652588, ""weight_entropy_ratio"": 0.8961029975237005}, ""Voice_Quality"": {""alignment"": 0.9716934967041015, ""uniformity"": -0.10051767855882644, ""effective_rank"": 2.490124349594116, ""weight_entropy_ratio"": 0.9320655195492173}, ""Scene"": {""alignment"": 0.7877177333831787, ""uniformity"": -0.7541611957550048, ""effective_rank"": 5.241874809265137, ""weight_entropy_ratio"": 0.8491872894239009}}",-0.10051767855882644,0.7327121925354004,2.4842562103271484,-0.10051767855882644,-0.44307631868124014,0.8635956801039859,"[0.19948232144117356, 0.015743789672851616]",COMPLETE
9,0.8881147217750549,2026-07-30 21:59:52.467613,2026-07-30 22:18:30.409106,0 days 00:18:37.941493,2.10624908202774,1.1253303307632643,1.1959828624191453,1.6504372534882632,2.590454577821076,0.6180049798705309,1.9981165409088135,3.1414286537170413,"{""Prosody"": {""alignment"": 0.9775357508659362, ""uniformity"": -0.08405407719314098, ""effective_rank"": 2.0594932556152346, ""weight_entropy_ratio"": 0.8632862807422947}, ""Vocal_Tract"": {""alignment"": 0.9775732612609863, ""uniformity"": -0.07717288520187139, ""effective_rank"": 2.015261354446411, ""weight_entropy_ratio"": 0.8013570528169427}, ""Timbre"": {""alignment"": 0.7600118589401245, ""uniformity"": -1.0003485822677611, ""effective_rank"": 4.885293827056885, ""weight_entropy_ratio"": 0.738380235176315}, ""Voice_Quality"": {""alignment"": 0.9780241394042969, ""uniformity"": -0.07442508410662413, ""effective_rank"": 1.9981165409088135, ""weight_entropy_ratio"": 0.8346744449933895}, ""Scene"": {""alignment"": 0.7474285984039306, ""uniformity"": -0.9779083800315856, ""effective_rank"": 4.7489782905578615, ""weight_entropy_ratio"": 0.6837877744325602}}",-0.07442508410662413,0.7474285984039306,1.9981165409088135,-0.07442508410662413,-0.44278180176019666,0.7842971576323002,"[0.265945922806859, 0.5018834590911865]",COMPLETE
