trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,alpha_mult_Prosody,alpha_mult_Vocal_Tract,alpha_mult_Timbre,alpha_mult_Voice_Quality,alpha_mult_Scene
0,0.9178621559143066,-0.05637309603393078,2.366110529899597,0.8147169613838195,-0.05637309603393078,2.366110529899597,-0.38368473009765147,3.4692949972152705,0.8269075734024,0.40581311290499433,,False,0.9846355986595153,-0.05929195508360863,2.39722366809845,0.8706414072263285,0.9840834188461304,-0.05637309603393078,2.366110529899597,0.9278002641255928,0.8147169613838195,-0.802842298746109,5.043239459991455,0.8557910494862702,0.9823894906044006,-0.059918670505285265,2.42476722240448,0.8599941420059836,0.8234853100776672,-0.9399976301193237,5.115134105682373,0.6203110041678248,2.1408571676918995,2.7443897010793887,1.5986584841970366,2.812037280884873,0.9559945203362027
1,0.9911303544044496,-0.007311801202595234,1.516154146194458,0.9804927372932434,-0.007311801202595234,1.516154146194458,-0.0581295372582972,1.764400555610657,0.8675545570722027,0.10517943155978948,,False,0.9978679180145263,-0.008594977110624314,1.553350419998169,0.8603977842523026,0.9981577014923095,-0.007311801202595234,1.516154146194458,0.9102372411887358,0.9809846925735474,-0.12431484028697014,2.1011148643493653,0.8832394242905434,0.9981487226486206,-0.007445532064884901,1.5224978160858154,0.8291016992530104,0.9804927372932434,-0.14298053562641144,2.128885531425476,0.8547966363764218,2.039411374929922,2.521895519963455,1.7080725777960455,2.541168988591605,1.7699098521619945
2,0.7775434060096741,-0.35667401790618897,3.2749722671508787,0.6815817141532898,-0.35667401790618897,3.2749722671508787,-0.8789114358425141,4.2828883342742925,0.7749706016106096,0.8408205087604007,,True,0.7577997660636902,-1.0315060830116272,4.350707130432129,0.6963837267657966,0.8634002923965454,-0.4112871015071869,3.428795156478882,0.8336899458147837,0.6815817141532898,-1.4031239414215089,5.34698091506958,0.7302443250332624,0.8815508580207825,-0.35667401790618897,3.2749722671508787,0.8690701722716021,0.7033843994140625,-1.1919660353660584,5.01298620223999,0.745464838167603,1.2548069328139313,1.8091024442520711,1.1834045098534338,3.1084844859190754,1.3247564316322378
3,0.9133506817817688,-0.004632325330749154,1.490437731742859,0.7776374125480652,-0.004632325330749154,1.490437731742859,-0.38907868484966457,2.8383082923889162,0.7921894796995143,0.46034776771000996,,False,0.9988360285758973,-0.004780729245394469,1.4959993934631348,0.7407875388610127,0.9987736988067627,-0.0049812766164541245,1.5038462686538696,0.9133438694860732,0.7926467537879944,-0.9728508639335632,4.947641735076904,0.7279923572519768,0.9988595151901245,-0.004632325330749154,1.490437731742859,0.8685976020775072,0.7776374125480652,-0.9581482291221619,4.7536163330078125,0.7102260308210013,1.3494749682376503,2.5401499210280454,1.139493860652042,3.0842892970704363,1.1663618432936917
4,0.9011902246475221,-0.03278939723968506,1.9818056726455688,0.7562187027931213,-0.03278939723968506,1.9818056726455688,-0.4654402798861266,3.0618100318908694,0.7955098262978663,0.4832664850061841,,False,0.9907140612602234,-0.03660395335406065,2.0501905918121337,0.8404307216090398,0.9915419697761536,-0.03278939723968506,1.9818056726455688,0.839414756574829,0.7562187027931213,-1.0916340517997742,4.570102310180664,0.8336039038482501,0.990469753742218,-0.036682195775210855,2.027311806678772,0.9010130543908559,0.7770066356658936,-1.129491801261902,4.679639778137207,0.5630866950663567,1.9422111536716165,1.8394454296692115,1.5142344384136117,3.684829137724085,0.8464504127199978
5,0.9245270695686341,-0.02435757976025343,1.5581929445266725,0.8201761627197266,-0.02435757976025343,1.5581929445266725,-0.2531442179530859,2.33655913066864,0.8313424005546436,0.6271676093063665,,False,0.9938884806632996,-0.02435757976025343,1.5581929445266725,0.6890708409486395,0.9927430176734924,-0.027717998437583446,1.5916823577880859,0.7925392221091094,0.8201761627197266,-0.5656374216079711,3.47182635307312,0.9180064095339848,0.9931372022628784,-0.026253759562969207,1.5772672271728516,0.9312551874492037,0.8226904845237732,-0.6217543303966522,3.483826770782471,0.8258403427322811,1.2046289484247499,1.610587708074975,1.9488855372533331,4.431264066149119,1.608397348116461
6,0.9546724662780761,-0.012534159906208516,1.5906083297729492,0.8908921384811401,-0.012534159906208516,1.5906083297729492,-0.21336966595426204,2.431605968475342,0.8021167587261607,0.33938308071470213,,False,0.9966376304626465,-0.01348547950387001,1.6165282249450683,0.6617492641049997,0.9967906832695007,-0.012534159906208516,1.5906083297729492,0.9241887458039816,0.8923555064201355,-0.49914844155311583,3.6819775676727295,0.8251557175310458,0.996686372756958,-0.013038636278361082,1.6017374897003174,0.8505527303171525,0.8908921384811401,-0.5286416125297546,3.6671782302856446,0.7489373358736238,1.1172065368076607,2.6631961450706667,1.4401524937396013,2.7440764696895577,1.2951769101112702
7,0.9913117346763611,-0.013007386662065983,1.619506335258484,0.9827364158630371,-0.013007386662065983,1.619506335258484,-0.07176751804351807,1.8662486181259157,0.843609880660092,0.08266909505945748,,False,0.9967825055122376,-0.013007386662065983,1.6229805278778076,0.8642251026393624,0.996796658039093,-0.013102226257324219,1.6201265716552735,0.8603934200048831,0.9834785437583924,-0.1368327847123146,2.189383068084717,0.8691289077681253,0.9967645502090454,-0.013049248419702054,1.619506335258484,0.8715422859512094,0.9827364158630371,-0.18284594416618347,2.279246587753296,0.7527596869368799,2.0911844824945387,1.9399259687200288,1.662522284353982,3.123422152178822,1.3200680211778109
8,0.8801121153831482,-0.10051767855882644,2.4842562103271484,0.7327121925354004,-0.10051767855882644,2.4842562103271484,-0.44307631868124014,3.745680932998657,0.8635956801039859,0.5693747653761156,,False,0.9378419137001037,-0.3413981440663338,2.899020233154297,0.6923045250102553,0.9705952405929565,-0.10462241560220718,2.4842562103271484,0.9483180690128554,0.7327121925354004,-0.9146821594238281,5.613129062652588,0.8961029975237005,0.9716934967041015,-0.10051767855882644,2.490124349594116,0.9320655195492173,0.7877177333831787,-0.7541611957550048,5.241874809265137,0.8491872894239009,1.2218253466306326,3.14829386719975,1.7751328233611146,4.3789978831283785,1.6948273504276488
9,0.8881147217750549,-0.07442508410662413,1.9981165409088135,0.7474285984039306,-0.07442508410662413,1.9981165409088135,-0.44278180176019666,3.1414286537170413,0.7842971576323002,0.6180049798705309,,False,0.9775357508659362,-0.08405407719314098,2.0594932556152346,0.8632862807422947,0.9775732612609863,-0.07717288520187139,2.015261354446411,0.8013570528169427,0.7600118589401245,-1.0003485822677611,4.885293827056885,0.738380235176315,0.9780241394042969,-0.07442508410662413,1.9981165409088135,0.8346744449933895,0.7474285984039306,-0.9779083800315856,4.7489782905578615,0.6837877744325602,2.10624908202774,1.6504372534882632,1.1959828624191453,2.590454577821076,1.1253303307632643
10,0.8541941390037536,-0.07271811157464982,2.014015417098999,0.639489312171936,-0.07271811157464982,2.014015417098999,-0.5551191930621863,3.088982236862183,0.8075327455790794,0.9790962703771402,,False,0.9782385230064392,-0.0767068662494421,2.045275492668152,0.7774230665091918,0.9788517165184021,-0.07271811157464982,2.014015417098999,0.8809075949247509,0.697262032032013,-1.3719286298751832,4.84038537979126,0.6683981144852511,0.977129111289978,-0.07732026040554046,2.050954346656799,0.9029364030883484,0.639489312171936,-1.1769220972061156,4.494280548095703,0.8079985488878556,1.5679927857456024,2.1268389136258654,1.0179618756148197,3.711743446866009,1.4902470735691453
11,0.8436894216537476,-0.08563362628221512,2.4439807176589965,0.6274763631820679,-0.08563362628221512,2.4439807176589965,-0.5230594764649868,3.476942706108094,0.8781386318569656,0.8728691152347403,,False,0.971758668422699,-0.10996941998600959,2.5773378372192384,0.7575488799308744,0.9756803727149963,-0.09104457676410675,2.4740753078460695,0.9397038663555154,0.6274763631820679,-1.200184202194214,5.070217933654785,0.9147628046356715,0.9770267868041992,-0.08563362628221512,2.4439807176589965,0.9294799377385163,0.6665049171447754,-1.1284655570983886,4.819101734161377,0.8491976706242503,1.4293768489968608,3.1098351898632544,1.9109525469542512,4.484777718183798,1.745809719973713
