number,value,datetime_start,datetime_complete,duration,params_alpha_mult_Prosody,params_alpha_mult_Scene,params_alpha_mult_Timbre,params_alpha_mult_Vocal_Tract,params_alpha_mult_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
50,0.930003373146057,2026-07-28 13:56:31.476196,2026-07-28 14:08:20.813919,0 days 00:11:49.337723,1.1915735066407076,0.9917177392307837,0.5755265645883023,1.6481921883099113,1.3868592282284644,0.28761849415332946,2.7932770824432374,4.14085334968567,"{""Prosody"": {""alignment"": 0.9784521245956421, ""uniformity"": -0.09010605841875076, ""effective_rank"": 2.914376516342163, ""weight_entropy_ratio"": 0.6720701821361739}, ""Vocal_Tract"": {""alignment"": 0.9773555016517639, ""uniformity"": -0.08630893886089325, ""effective_rank"": 2.8886357021331786, ""weight_entropy_ratio"": 0.8061154083517168}, ""Timbre"": {""alignment"": 0.8235135412216187, ""uniformity"": -1.1304507398605346, ""effective_rank"": 6.506072177886963, ""weight_entropy_ratio"": 0.32703620854324805}, ""Voice_Quality"": {""alignment"": 0.9786580634117127, ""uniformity"": -0.07769510477781295, ""effective_rank"": 2.7932770824432374, ""weight_entropy_ratio"": 0.6988770862279376}, ""Scene"": {""alignment"": 0.8920376348495483, ""uniformity"": -0.8876225471496582, ""effective_rank"": 5.601905269622803, ""weight_entropy_ratio"": 0.6351060745351123}}",-0.07769510477781295,0.8235135412216187,2.7932770824432374,-0.07769510477781295,-0.45443667781353,0.6278409919588377,"[0.25989394158124923, -0.29327708244323736]",COMPLETE
51,0.819120152950287,2026-07-28 14:08:25.014431,2026-07-28 14:17:32.294382,0 days 00:09:07.279951,1.0923391035637664,0.8675082475473098,0.651259740678975,1.428955662310098,1.250969923127008,0.7966377500668242,2.6440416431427,4.443757497787476,"{""Prosody"": {""alignment"": 0.7404161715507507, ""uniformity"": -1.185097155570984, ""effective_rank"": 4.966341171264649, ""weight_entropy_ratio"": 0.6453324614940125}, ""Vocal_Tract"": {""alignment"": 0.9149507284164429, ""uniformity"": -0.30442706882953646, ""effective_rank"": 3.0313548851013183, ""weight_entropy_ratio"": 0.7593229303942486}, ""Timbre"": {""alignment"": 0.7081204056739807, ""uniformity"": -1.5625442218780519, ""effective_rank"": 6.007240047454834, ""weight_entropy_ratio"": 0.3937944900493914}, ""Voice_Quality"": {""alignment"": 0.9479669427871704, ""uniformity"": -0.17590952098369597, ""effective_rank"": 2.6440416431427, ""weight_entropy_ratio"": 0.6721821540853989}, ""Scene"": {""alignment"": 0.7841465163230896, ""uniformity"": -1.305807695388794, ""effective_rank"": 5.569809741973877, ""weight_entropy_ratio"": 0.5726145561435534}}",-0.17590952098369597,0.7081204056739807,2.6440416431427,-0.17590952098369597,-0.9067571325302124,0.6086493184333209,"[0.12409047901630402, -0.14404164314270007]",COMPLETE
52,0.8757334604263306,2026-07-28 14:17:36.528016,2026-07-28 14:26:38.161125,0 days 00:09:01.633109,0.8354212130642722,0.7273217606754148,0.7367816623686692,1.322610002173165,1.13772922046742,0.7118987204361643,2.413117833137512,3.57062379360199,"{""Prosody"": {""alignment"": 0.9602928781509399, ""uniformity"": -0.16338471680879593, ""effective_rank"": 2.538343029022217, ""weight_entropy_ratio"": 0.5450581144247322}, ""Vocal_Tract"": {""alignment"": 0.9602607083320618, ""uniformity"": -0.141399295181036, ""effective_rank"": 2.441422071456909, ""weight_entropy_ratio"": 0.7418016071969776}, ""Timbre"": {""alignment"": 0.7309704566001892, ""uniformity"": -1.4456034469604493, ""effective_rank"": 5.3625625801086425, ""weight_entropy_ratio"": 0.47720624596903705}, ""Voice_Quality"": {""alignment"": 0.961705458164215, ""uniformity"": -0.13512653037905692, ""effective_rank"": 2.413117833137512, ""weight_entropy_ratio"": 0.6562234386280186}, ""Scene"": {""alignment"": 0.7654378008842468, ""uniformity"": -1.3209510040283203, ""effective_rank"": 5.097673454284668, ""weight_entropy_ratio"": 0.4999284101305274}}",-0.13512653037905692,0.7309704566001892,2.413117833137512,-0.13512653037905692,-0.6412929986715317,0.5840435632698586,"[0.18661528319120405, 0.08688216686248795]",COMPLETE
53,0.9046158962249757,2026-07-28 14:26:43.041349,2026-07-28 14:35:44.144488,0 days 00:09:01.103139,0.935228282681424,0.819635680703032,1.121301815901069,1.5365217243703169,1.0652583525044124,0.8575800500982849,1.827797384262085,2.8435202417373655,"{""Prosody"": {""alignment"": 0.9843437933921814, ""uniformity"": -0.058087259083986285, ""effective_rank"": 1.837957353591919, ""weight_entropy_ratio"": 0.5722003485514239}, ""Vocal_Tract"": {""alignment"": 0.979871060848236, ""uniformity"": -0.0596849886327982, ""effective_rank"": 1.8436511468887329, ""weight_entropy_ratio"": 0.790936247382405}, ""Timbre"": {""alignment"": 0.7758995127677918, ""uniformity"": -1.1701649832725525, ""effective_rank"": 4.443762598037719, ""weight_entropy_ratio"": 0.7120975287603842}, ""Voice_Quality"": {""alignment"": 0.9827361726760864, ""uniformity"": -0.05654537282884121, ""effective_rank"": 1.827797384262085, ""weight_entropy_ratio"": 0.6385744059500837}, ""Scene"": {""alignment"": 0.8002289414405823, ""uniformity"": -1.1478457903862, ""effective_rank"": 4.264432725906372, ""weight_entropy_ratio"": 0.5587842537687527}}",-0.05654537282884121,0.7758995127677918,1.827797384262085,-0.05654537282884121,-0.49846567884087567,0.65451855688261,"[0.2919127409160137, 0.6722026157379151]",COMPLETE
54,0.8879954061508178,2026-07-28 14:35:48.380553,2026-07-28 14:44:47.660351,0 days 00:08:59.279798,1.0499140432067378,1.188212044418196,0.6746395816738937,1.4526231911940437,0.93503119480517,0.7347370814912823,2.2920812463760374,3.2727287807464602,"{""Prosody"": {""alignment"": 0.9604295134544373, ""uniformity"": -0.15361907392740248, ""effective_rank"": 2.3343498134613037, ""weight_entropy_ratio"": 0.6307182541946333}, ""Vocal_Tract"": {""alignment"": 0.9626617693901062, ""uniformity"": -0.1408317492902279, ""effective_rank"": 2.2920812463760374, ""weight_entropy_ratio"": 0.7623727129878535}, ""Timbre"": {""alignment"": 0.7432759332656861, ""uniformity"": -1.274360318183899, ""effective_rank"": 4.907618045806885, ""weight_entropy_ratio"": 0.4244234033843997}, ""Voice_Quality"": {""alignment"": 0.9555604267120361, ""uniformity"": -0.14703718543052674, ""effective_rank"": 2.313461184501648, ""weight_entropy_ratio"": 0.5943484093154006}, ""Scene"": {""alignment"": 0.8180493879318237, ""uniformity"": -1.0723589038848877, ""effective_rank"": 4.516133613586426, ""weight_entropy_ratio"": 0.7102791936155188}}",-0.1408317492902279,0.7432759332656861,2.2920812463760374,-0.1408317492902279,-0.5576414461433887,0.6244283946995612,"[0.1963809260725975, 0.20791875362396262]",COMPLETE
55,0.8375330309867859,2026-07-28 14:44:52.079495,2026-07-28 14:53:51.480538,0 days 00:08:59.401043,1.147191205024061,0.630371420382636,0.502537394580056,1.1006250649611267,0.772965636716177,0.6538635648481924,3.1990957069396972,4.29486509513855,"{""Prosody"": {""alignment"": 0.9265331888198852, ""uniformity"": -0.36592179268598557, ""effective_rank"": 3.331785354614258, ""weight_entropy_ratio"": 0.663535857176069}, ""Vocal_Tract"": {""alignment"": 0.90585289478302, ""uniformity"": -0.3330597499012947, ""effective_rank"": 3.233642339706421, ""weight_entropy_ratio"": 0.6570622764453559}, ""Timbre"": {""alignment"": 0.7100618624687195, ""uniformity"": -1.6374424695968628, ""effective_rank"": 6.153368797302246, ""weight_entropy_ratio"": 0.26475715948611633}, ""Voice_Quality"": {""alignment"": 0.8973568940162658, ""uniformity"": -0.32386810302734376, ""effective_rank"": 3.1990957069396972, ""weight_entropy_ratio"": 0.553309176478935}, ""Scene"": {""alignment"": 0.7478603148460388, ""uniformity"": -1.383375096321106, ""effective_rank"": 5.556433277130127, ""weight_entropy_ratio"": 0.4241528752880175}}",-0.32386810302734376,0.7100618624687195,3.1990957069396972,-0.32386810302734376,-0.8087334423065186,0.5125634689748988,"[-0.015921792685985592, -0.6990957069396972]",COMPLETE
56,0.8785735521316528,2026-07-28 14:53:55.779757,2026-07-28 15:02:54.466440,0 days 00:08:58.686683,1.337437135340142,0.5652924048231003,0.5301768823807329,1.0974648278719683,0.6143185740781165,0.6496724119131394,1.9716015815734864,3.5320866832733158,"{""Prosody"": {""alignment"": 0.9883345866203308, ""uniformity"": -0.045811822488904, ""effective_rank"": 2.0667771339416503, ""weight_entropy_ratio"": 0.7185494286649129}, ""Vocal_Tract"": {""alignment"": 0.9871609473228454, ""uniformity"": -0.04407468482851982, ""effective_rank"": 2.0572939205169676, ""weight_entropy_ratio"": 0.6555442940560587}, ""Timbre"": {""alignment"": 0.6945965695381164, ""uniformity"": -1.6586033201217651, ""effective_rank"": 6.173519039154053, ""weight_entropy_ratio"": 0.29586821282463255}, ""Voice_Quality"": {""alignment"": 0.9903696942329406, ""uniformity"": -0.03764266051352024, ""effective_rank"": 1.9716015815734864, ""weight_entropy_ratio"": 0.5015574955326566}, ""Scene"": {""alignment"": 0.7324059629440307, ""uniformity"": -1.3571262788772582, ""effective_rank"": 5.39124174118042, ""weight_entropy_ratio"": 0.3798290893573142}}",-0.03764266051352024,0.6945965695381164,1.9716015815734864,-0.03764266051352024,-0.6286517533659935,0.510269704087115,"[0.30418817751109595, 0.5283984184265136]",COMPLETE
57,0.8896966304779051,2026-07-28 15:02:58.785601,2026-07-28 15:12:00.130696,0 days 00:09:01.345095,1.2215916614012579,0.6403450519055875,1.726393369481226,1.0065676749339705,0.7596386660031051,0.521769790568333,3.0966877841949465,4.380013158798217,"{""Prosody"": {""alignment"": 0.8640296196937561, ""uniformity"": -0.8145165979862213, ""effective_rank"": 4.368432998657227, ""weight_entropy_ratio"": 0.6913543873746248}, ""Vocal_Tract"": {""alignment"": 0.9212751579284668, ""uniformity"": -0.28814987450838087, ""effective_rank"": 3.3679797744750974, ""weight_entropy_ratio"": 0.6196009047439136}, ""Timbre"": {""alignment"": 0.9015899586677552, ""uniformity"": -0.7455380988121033, ""effective_rank"": 4.967014675140381, ""weight_entropy_ratio"": 0.8834735537347912}, ""Voice_Quality"": {""alignment"": 0.939545738697052, ""uniformity"": -0.20950724363327025, ""effective_rank"": 3.0966877841949465, ""weight_entropy_ratio"": 0.5521204231552697}, ""Scene"": {""alignment"": 0.8220426774024964, ""uniformity"": -1.1566544222831725, ""effective_rank"": 6.099950561523437, ""weight_entropy_ratio"": 0.4250019377820626}}",-0.20950724363327025,0.8220426774024964,3.0966877841949465,-0.20950724363327025,-0.6428732474446296,0.6343102413581323,"[0.09049275636672974, -0.5966877841949465]",COMPLETE
58,0.8855994272232056,2026-07-28 15:12:06.738085,2026-07-28 15:21:04.865244,0 days 00:08:58.127159,1.1667733044502346,1.399463250280123,0.5857369720969648,1.0559712003653572,0.8781720658993948,0.5904228566081736,2.065408034324646,3.386638976097107,"{""Prosody"": {""alignment"": 0.9790299701690673, ""uniformity"": -0.08040451422333718, ""effective_rank"": 2.0787353038787844, ""weight_entropy_ratio"": 0.6747941515624438}, ""Vocal_Tract"": {""alignment"": 0.9797367668151855, ""uniformity"": -0.07644497126340866, ""effective_rank"": 2.065408034324646, ""weight_entropy_ratio"": 0.6348189296127159}, ""Timbre"": {""alignment"": 0.6924829196929931, ""uniformity"": -1.4948378467559815, ""effective_rank"": 5.695497741699219, ""weight_entropy_ratio"": 0.3424933877255581}, ""Voice_Quality"": {""alignment"": 0.978828718662262, ""uniformity"": -0.0804732758551836, ""effective_rank"": 2.0775595760345458, ""weight_entropy_ratio"": 0.5882681747979327}, ""Scene"": {""alignment"": 0.7979187607765198, ""uniformity"": -1.1002800011634826, ""effective_rank"": 5.01599422454834, ""weight_entropy_ratio"": 0.7846013604090893}}",-0.07644497126340866,0.6924829196929931,2.065408034324646,-0.07644497126340866,-0.5664881218522787,0.604995200821548,"[0.2695954857766628, 0.4345919656753541]",COMPLETE
59,0.8733191285133363,2026-07-28 15:21:09.096555,2026-07-28 15:30:14.152380,0 days 00:09:05.055825,1.4613808118869076,0.5583613129441516,0.5115342017205978,0.6346731320853395,0.8269383379106093,0.5473300551655592,2.7095533275604247,4.681546905517578,"{""Prosody"": {""alignment"": 0.9686813259124756, ""uniformity"": -0.12115293070673942, ""effective_rank"": 2.906333227157593, ""weight_entropy_ratio"": 0.755619042407709}, ""Vocal_Tract"": {""alignment"": 0.9740593791007995, ""uniformity"": -0.09765257835388183, ""effective_rank"": 2.7095533275604247, ""weight_entropy_ratio"": 0.4073012223787511}, ""Timbre"": {""alignment"": 0.6994567036628723, ""uniformity"": -1.7642446041107178, ""effective_rank"": 7.947802715301513, ""weight_entropy_ratio"": 0.2795543291116564}, ""Voice_Quality"": {""alignment"": 0.9710006356239319, ""uniformity"": -0.10728694021701812, ""effective_rank"": 2.7855551719665526, ""weight_entropy_ratio"": 0.5724683929859044}, ""Scene"": {""alignment"": 0.7533975982666016, ""uniformity"": -1.462530164718628, ""effective_rank"": 7.0584900856018065, ""weight_entropy_ratio"": 0.373869327403903}}",-0.09765257835388183,0.6994567036628723,2.7095533275604247,-0.09765257835388183,-0.7105734436213971,0.47776246285758467,"[0.22884706929326054, -0.20955332756042466]",COMPLETE
