trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,alpha_mult_Prosody,alpha_mult_Vocal_Tract,alpha_mult_Timbre,alpha_mult_Voice_Quality,alpha_mult_Scene
0,0.9402293853759766,-0.03641728425398469,1.8749553871154785,0.848442907333374,-0.03641728425398469,1.8749553871154785,-0.41480398416146635,3.1475506973266603,0.6712660453800051,0.40581311290499433,,False,0.990724287033081,-0.03708278054371476,1.8899128389358522,0.8028102482295129,0.9905947041511536,-0.03641728425398469,1.8749553871154785,0.7676473939800139,0.880659613609314,-0.953058865070343,4.997122325897217,0.7683450773962346,0.9907254147529602,-0.03676409581676125,1.8851940107345582,0.5393521451980487,0.848442907333374,-1.0106968951225281,5.090568923950196,0.4781753620962156,1.7359285983328911,1.4515921243548267,1.2782560294561476,0.7028242325751675,0.7027928764370635
1,0.9947099161148071,-0.017206889353692533,1.6109793710708618,0.9911926651000976,-0.017206889353692533,1.6109793710708618,-0.07288253317773342,1.8898920354843136,0.7281865149316056,0.10517943155978948,,False,0.995767731666565,-0.017233833521604538,1.6109793710708618,0.7850545608025318,0.9956004810333252,-0.017206889353692533,1.6121962642669678,0.7149578026566988,0.9911926651000976,-0.1586744838953018,2.29543746471405,0.8191696043622018,0.9956719398498535,-0.017326014153659343,1.6130000734329224,0.4697804490608051,0.9953167629241944,-0.15397144496440887,2.317847003936768,0.8519701577757908,1.6260289895074158,1.2814495152661713,1.4204943511348591,0.5267598425845432,1.7608828078105927
2,0.8823922324180604,-0.09807846873998642,2.107211079597473,0.7178148078918457,-0.09807846873998642,2.107211079597473,-0.6266036151498556,3.2997306203842163,0.552383865794686,0.8408205087604007,,False,0.9673524618148803,-0.10905048236250878,2.153035578727722,0.5042634912110487,0.9695626902580261,-0.10562865473330021,2.13821729183197,0.47132806160564544,0.7178148078918457,-1.5490166187286376,5.30312671661377,0.4755215221668525,0.96957843542099,-0.09807846873998642,2.107211079597473,0.5965862071034816,0.7876527667045593,-1.271243851184845,4.7970624351501465,0.7142200468864016,0.776040843881759,0.7363724573692308,0.738425862809464,0.8955149158473991,1.1821833611219092
3,0.8753681921958923,-0.18339916199445724,3.1895656108856203,0.766212477684021,-0.18339916199445724,3.1895656108856203,-0.7005370566546917,4.070680822372437,0.5816807528113863,0.46034776771000996,,False,0.8724459791183472,-0.6557089138031006,3.89455174446106,0.5551775968873052,0.9389826560020447,-0.22740428581833838,3.290011053085327,0.7247009620029634,0.766212477684021,-1.3361326789855956,5.227175655364991,0.4214832448853953,0.9433983373641968,-0.18339916199445724,3.1895656108856203,0.5869813962418756,0.8558015108108521,-1.1000402426719667,4.752100048065185,0.6200605640393917,0.8785978822574545,1.2954087631390934,0.6813420188476544,0.8797880430957836,0.9762703962817992
4,0.8815016188621522,-0.3300820803642273,2.901621227264404,0.8366060924530029,-0.3300820803642273,2.901621227264404,-0.6613437240123748,3.8813071250915527,0.6053283646153121,0.4832664850061841,,True,0.9332074570655823,-0.5256305468082428,3.1733868408203123,0.7603111884420719,0.8858127164840698,-0.4034397840499878,3.0183136749267576,0.4808532594791161,0.8366060924530029,-1.04328617811203,5.312885456085205,0.7329712384850859,0.8929312348365783,-0.3300820803642273,2.901621227264404,0.6778463280470386,0.8589505934715271,-1.0042800307273865,5.000328426361084,0.3746598086232482,1.5207287498109177,0.7595759168058677,1.1685047699376951,1.2701389395206553,0.5603855365359971
5,0.9468495054244995,-0.0726539234817028,2.1210240077972413,0.892605881690979,-0.0726539234817028,2.1210240077972413,-0.34770721736550336,2.9961188268661503,0.655904164235813,0.6271676093063665,,False,0.9812942528724671,-0.07953483112156391,2.170905055999756,0.47780570044194975,0.9787208199501037,-0.07347437642514705,2.1263753747940064,0.36669491091686324,0.9019407558441163,-0.7047630453109741,4.232324237823486,0.8876806284000928,0.9796858167648316,-0.0726539234817028,2.1210240077972413,0.7415886383679883,0.892605881690979,-0.8081099104881286,4.32996545791626,0.8057509430521715,0.721681360793479,0.5845670708808633,1.7335511984293333,1.7553216429969272,1.5509165525513995
6,0.9529421682357789,-0.04009946055710316,2.0571303939819336,0.8978393411636353,-0.04009946055710316,2.0571303939819336,-0.30648453437536954,3.1594448289871218,0.6157045207603463,0.33938308071470213,,False,0.9899542140960693,-0.04234415583312511,2.0957043075561526,0.4168104801607759,0.98921147108078,-0.04125270064920187,2.0718891763687135,0.7449894735661414,0.8978393411636353,-0.7066765213012696,4.830355892181396,0.695937786307144,0.989334979057312,-0.04009946055710316,2.0571303939819336,0.5220166213179434,0.8983708357810974,-0.702049833536148,4.742144374847412,0.6987682424497269,0.6269737482082991,1.389502934465804,1.0721982418614817,0.6586497052982125,1.1437299831446512
7,0.9947972598075867,-0.016893473751842976,1.6554502820968628,0.9922909736633301,-0.016893473751842976,1.6554502820968628,-0.07780648948997258,1.9353024616241459,0.6869330797217453,0.08266909505945748,,False,0.995800929069519,-0.016911352425813674,1.6651457405090333,0.7995480860723927,0.9958581638336181,-0.016901272013783455,1.6554502820968628,0.5370696898339186,0.9922909736633301,-0.15562007635831832,2.32292103767395,0.8068983188908072,0.9955555438995362,-0.016893473751842976,1.6572512292861938,0.585837954210645,0.99448068857193,-0.18270627290010452,2.3757440185546876,0.7053113496009632,1.6821165227024166,0.836413976080022,1.3612789696601766,0.9052243989162343,1.176088427531154
8,0.8968907971382142,-0.13122049435973168,2.5644571685791018,0.8351152491569519,-0.13122049435973168,2.5644571685791018,-0.631687908679247,3.714890419006348,0.7476581305298217,0.5693747653761156,,False,0.8421816635131836,-0.8969202351570129,3.3931805896759033,0.48657111299347244,0.9587194919586182,-0.16887882858514786,2.601666498184204,0.8312000298727589,0.8351152491569519,-1.0935154914855958,5.1618656539917,0.8424497453824812,0.9631567311286926,-0.13122049435973168,2.5644571685791018,0.7484341561003166,0.8852808499336242,-0.8679044938087463,4.85328218460083,0.8296356083000798,0.7403107921831852,1.760460016093926,1.507672670369449,1.721348624033446,1.6632755555559435
9,0.8743465046882629,-0.19102648496627808,2.7553197860717775,0.7714067220687866,-0.19102648496627808,2.7553197860717775,-0.6425113853812218,3.7545294723510745,0.5541665199943498,0.6180049798705309,,False,0.9384696793556213,-0.227480466067791,2.9110141468048094,0.7922313262951053,0.9446436929702758,-0.21818891286849976,2.8838798427581787,0.3894787281295206,0.7723654484748841,-1.3134356427192688,5.219128093719482,0.4932006695330741,0.9448469805717469,-0.19102648496627808,2.7553197860717775,0.47896510443189966,0.7714067220687866,-1.2624254202842713,5.003305492401123,0.61695677158215,1.6984365055300519,0.6150402526674954,0.7547777211448887,0.5587954755836995,0.9229294299922437
