number,value,datetime_start,datetime_complete,duration,params_mult_Prosody,params_mult_Scene,params_mult_Timbre,params_mult_Vocal_Tract,params_mult_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
10,0.9282258374691008,2026-07-29 22:02:34.009264,2026-07-29 22:36:56.696588,0 days 00:34:22.687324,1.6833183036366712,2.225617683922863,0.544904689037049,1.4218219318027434,2.014679308582511,0.4907583511141041,2.158945848941803,2.8984480071067806,"{""Prosody"": {""alignment"": 0.9663961553573608, ""uniformity"": -0.13503613248467444, ""effective_rank"": 2.338801050186157, ""weight_entropy_ratio"": 0.9897398502331117}, ""Vocal_Tract"": {""alignment"": 0.9814462828636169, ""uniformity"": -0.0727477391064167, ""effective_rank"": 2.179720301628113, ""weight_entropy_ratio"": 0.9781266960347876}, ""Timbre"": {""alignment"": 0.742277706861496, ""uniformity"": -1.1109916281700134, ""effective_rank"": 5.194325351715088, ""weight_entropy_ratio"": 0.8612618016595788}, ""Voice_Quality"": {""alignment"": 0.9844574999809265, ""uniformity"": -0.05980199184268713, ""effective_rank"": 2.158945848941803, ""weight_entropy_ratio"": 0.9853170537641823}, ""Scene"": {""alignment"": 0.9665515422821045, ""uniformity"": -0.1284385207295418, ""effective_rank"": 2.620447483062744, ""weight_entropy_ratio"": 0.9965326701382112}}",-0.05980199184268713,0.742277706861496,2.158945848941803,-0.05980199184268713,-0.3014032024666667,0.9621956143659743,"[0.27156147927045826, 0.3410541510581968]",COMPLETE
11,0.9437764053344726,2026-07-29 22:37:01.280861,2026-07-29 23:11:38.784810,0 days 00:34:37.503949,1.481132230256581,1.5180626749512423,1.1914749910988909,1.6665189465205594,1.4577103514615026,0.43893556267976425,3.054093461036682,3.834991485595703,"{""Prosody"": {""alignment"": 0.9363478767871857, ""uniformity"": -0.26363122746348383, ""effective_rank"": 3.8977031183242796, ""weight_entropy_ratio"": 0.9832042792348568}, ""Vocal_Tract"": {""alignment"": 0.9827520978450776, ""uniformity"": -0.06572543192654848, ""effective_rank"": 3.054093461036682, ""weight_entropy_ratio"": 0.9856020395810515}, ""Timbre"": {""alignment"": 0.9077308881282806, ""uniformity"": -0.3640416306257248, ""effective_rank"": 4.513737411499023, ""weight_entropy_ratio"": 0.9879791526174599}, ""Voice_Quality"": {""alignment"": 0.9835898363590241, ""uniformity"": -0.06275050513446331, ""effective_rank"": 3.055758399963379, ""weight_entropy_ratio"": 0.9623582327619958}, ""Scene"": {""alignment"": 0.9084613275527954, ""uniformity"": -0.351213327050209, ""effective_rank"": 4.653665037155151, ""weight_entropy_ratio"": 0.9877146460776443}}",-0.06275050513446331,0.9077308881282806,3.054093461036682,-0.06275050513446331,-0.22147242444008586,0.9813716700546015,"[0.23724949486553668, -0.5540934610366821]",COMPLETE
12,0.9803342778682709,2026-07-29 23:11:44.111760,2026-07-29 23:46:00.993553,0 days 00:34:16.881793,1.5858906793910281,1.9792090898251495,1.3109426148289316,1.6817850166448718,1.5291294517457703,0.46719348793221566,1.8105781960487366,2.439683985710144,"{""Prosody"": {""alignment"": 0.9976543974876404, ""uniformity"": -0.009338314477354288, ""effective_rank"": 1.8186404728889465, ""weight_entropy_ratio"": 0.9871016281406382}, ""Vocal_Tract"": {""alignment"": 0.9976938378810882, ""uniformity"": -0.009168890900909901, ""effective_rank"": 1.8105781960487366, ""weight_entropy_ratio"": 0.9858373981962494}, ""Timbre"": {""alignment"": 0.9547169661521911, ""uniformity"": -0.17456964105367662, ""effective_rank"": 3.3429420375823975, ""weight_entropy_ratio"": 0.9902752968947784}, ""Voice_Quality"": {""alignment"": 0.9971382808685303, ""uniformity"": -0.011334676146507263, ""effective_rank"": 1.8756122255325318, ""weight_entropy_ratio"": 0.9679867780297085}, ""Scene"": {""alignment"": 0.9544679069519043, ""uniformity"": -0.17367735922336577, ""effective_rank"": 3.350646996498108, ""weight_entropy_ratio"": 0.9945811702034071}}",-0.009168890900909901,0.9544679069519043,1.8105781960487366,-0.009168890900909901,-0.07561777636036277,0.9851564542929563,"[0.3406616855226457, 0.6894218039512634]",COMPLETE
13,0.963337022304535,2026-07-29 23:46:06.058681,2026-07-30 00:20:50.942338,0 days 00:34:44.883657,2.114641101758103,1.3456515894881724,1.2943608817818242,1.453374522643851,1.6717630472196054,0.4190480763977917,2.3839031505584716,2.9708934431076046,"{""Prosody"": {""alignment"": 0.9864236032962799, ""uniformity"": -0.054650712590664625, ""effective_rank"": 2.409579257965088, ""weight_entropy_ratio"": 0.9950266111674974}, ""Vocal_Tract"": {""alignment"": 0.989826203584671, ""uniformity"": -0.03963298572227359, ""effective_rank"": 2.3839031505584716, ""weight_entropy_ratio"": 0.9784928911507549}, ""Timbre"": {""alignment"": 0.9401777505874633, ""uniformity"": -0.2376505845785141, ""effective_rank"": 3.572074089050293, ""weight_entropy_ratio"": 0.9905812891050821}, ""Voice_Quality"": {""alignment"": 0.9898718774318696, ""uniformity"": -0.039366890881210564, ""effective_rank"": 2.4010692501068114, ""weight_entropy_ratio"": 0.9748446058860876}, ""Scene"": {""alignment"": 0.9103856766223908, ""uniformity"": -0.34733467668294904, ""effective_rank"": 4.087841467857361, ""weight_entropy_ratio"": 0.9814902026462294}}",-0.039366890881210564,0.9103856766223908,2.3839031505584716,-0.039366890881210564,-0.14372717009112237,0.9840871199911302,"[0.29534928740933536, 0.11609684944152843]",COMPLETE
14,0.9247300930023192,2026-07-30 00:20:56.433603,2026-07-30 00:55:26.060482,0 days 00:34:29.626879,1.3268572104624103,2.213397898770042,0.5718965350477705,1.020240280986462,2.438146618283592,0.40420808519963,2.16600291967392,3.402381320476532,"{""Prosody"": {""alignment"": 0.9154760861396789, ""uniformity"": -0.3500474560260773, ""effective_rank"": 3.5129553699493408, ""weight_entropy_ratio"": 0.9756349685617924}, ""Vocal_Tract"": {""alignment"": 0.9737446963787079, ""uniformity"": -0.10536754973232747, ""effective_rank"": 2.6739770698547365, ""weight_entropy_ratio"": 0.9487789079901917}, ""Timbre"": {""alignment"": 0.7593077528476715, ""uniformity"": -1.112711569070816, ""effective_rank"": 6.263452186584472, ""weight_entropy_ratio"": 0.8727446142480594}, ""Voice_Quality"": {""alignment"": 0.9907368111610413, ""uniformity"": -0.03624437049031257, ""effective_rank"": 2.16600291967392, ""weight_entropy_ratio"": 0.99185389076248}, ""Scene"": {""alignment"": 0.9843851184844971, ""uniformity"": -0.06016414811834693, ""effective_rank"": 2.3955190563201905, ""weight_entropy_ratio"": 0.9964871102494043}}",-0.03624437049031257,0.7593077528476715,2.16600291967392,-0.03624437049031257,-0.3329070186875761,0.9570998983623856,"[0.3398358518816531, 0.3339970803260801]",COMPLETE
15,0.9046265623569488,2026-07-30 00:55:30.681051,2026-07-30 01:30:04.736038,0 days 00:34:34.054987,0.5362696584446922,1.0599343147617124,1.193015744459285,2.536959297512244,1.1802504951606483,0.3869948917618009,2.176562740802765,3.723367218017578,"{""Prosody"": {""alignment"": 0.7515835869312286, ""uniformity"": -1.2618214857578278, ""effective_rank"": 5.97968204498291, ""weight_entropy_ratio"": 0.8125368413897648}, ""Vocal_Tract"": {""alignment"": 0.9904138219356536, ""uniformity"": -0.036106249466538426, ""effective_rank"": 2.176562740802765, ""weight_entropy_ratio"": 0.9965595714882078}, ""Timbre"": {""alignment"": 0.9107556676864624, ""uniformity"": -0.35479252129793165, ""effective_rank"": 3.774971351623535, ""weight_entropy_ratio"": 0.9866269080482892}, ""Voice_Quality"": {""alignment"": 0.9905330908298492, ""uniformity"": -0.03650811806321144, ""effective_rank"": 2.181935203075409, ""weight_entropy_ratio"": 0.9395632747489632}, ""Scene"": {""alignment"": 0.8798466444015502, ""uniformity"": -0.48684741199016573, ""effective_rank"": 4.503684749603272, ""weight_entropy_ratio"": 0.9600547940226134}}",-0.036106249466538426,0.7515835869312286,2.176562740802765,-0.036106249466538426,-0.43521515731513505,0.9390682779395678,"[0.2634918819367885, 0.323437259197235]",COMPLETE
16,0.9824355764389037,2026-07-30 01:30:10.667576,2026-07-30 02:04:43.303909,0 days 00:34:32.636333,1.9477118507590934,1.6694540828182391,1.5400786672934945,1.643362466814457,2.077710858847413,0.4454931977060132,1.5561216139793397,2.081537668704987,"{""Prosody"": {""alignment"": 0.9989792764186859, ""uniformity"": -0.004075259556993842, ""effective_rank"": 1.5561216139793397, ""weight_entropy_ratio"": 0.993685143711417}, ""Vocal_Tract"": {""alignment"": 0.9989659309387207, ""uniformity"": -0.004084286270663142, ""effective_rank"": 1.560308771133423, ""weight_entropy_ratio"": 0.9859361715195755}, ""Timbre"": {""alignment"": 0.9692483210563659, ""uniformity"": -0.11923544615507126, ""effective_rank"": 2.6766019535064696, ""weight_entropy_ratio"": 0.9949800384786565}, ""Voice_Quality"": {""alignment"": 0.9989967679977417, ""uniformity"": -0.003978527272120118, ""effective_rank"": 1.556891589164734, ""weight_entropy_ratio"": 0.9870303638473295}, ""Scene"": {""alignment"": 0.9459875857830048, ""uniformity"": -0.20770315766334535, ""effective_rank"": 3.0577644157409667, ""weight_entropy_ratio"": 0.9908562113725217}}",-0.003978527272120118,0.9459875857830048,1.5561216139793397,-0.003978527272120118,-0.06781533538363874,0.9904975857858999,"[0.34592474044300614, 0.9438783860206603]",COMPLETE
17,0.9576220576763153,2026-07-30 02:04:48.418075,2026-07-30 02:35:19.961773,0 days 00:30:31.543698,1.2898188188308897,1.5251564574775154,0.8746351841761814,1.3021254465495427,1.4883266978717995,0.36491447897460483,2.3707014656066896,3.2232288537025453,"{""Prosody"": {""alignment"": 0.9906626307964325, ""uniformity"": -0.037789066322147846, ""effective_rank"": 2.4937859773635864, ""weight_entropy_ratio"": 0.9750408646654235}, ""Vocal_Tract"": {""alignment"": 0.9918988287448883, ""uniformity"": -0.03220506390556693, ""effective_rank"": 2.3707014656066896, ""weight_entropy_ratio"": 0.9714559588156174}, ""Timbre"": {""alignment"": 0.8864556527137757, ""uniformity"": -0.47473981976509094, ""effective_rank"": 4.927791242599487, ""weight_entropy_ratio"": 0.9622072841241855}, ""Voice_Quality"": {""alignment"": 0.9907079589366913, ""uniformity"": -0.036741733569651845, ""effective_rank"": 2.482296884059906, ""weight_entropy_ratio"": 0.9649926246288858}, ""Scene"": {""alignment"": 0.9283852171897888, ""uniformity"": -0.2867895931005478, ""effective_rank"": 3.841568698883057, ""weight_entropy_ratio"": 0.9866021013529084}}",-0.03220506390556693,0.8864556527137757,2.3707014656066896,-0.03220506390556693,-0.17365305533260103,0.9720597667174041,"[0.31221093367785213, 0.1292985343933104]",COMPLETE
18,0.97026864027977,2026-07-30 02:35:24.210117,2026-07-30 03:09:50.472203,0 days 00:34:26.262086,2.101069646191561,2.0846671749857646,1.0024334322745996,0.9042165270980985,1.0532591884968354,0.43739542761265626,1.8267466878890992,2.423777458190918,"{""Prosody"": {""alignment"": 0.9948011648654937, ""uniformity"": -0.02035993555560708, ""effective_rank"": 1.8267466878890992, ""weight_entropy_ratio"": 0.9951380513967045}, ""Vocal_Tract"": {""alignment"": 0.9946781706809997, ""uniformity"": -0.021089560352265835, ""effective_rank"": 1.8320671319961548, ""weight_entropy_ratio"": 0.9292354098302822}, ""Timbre"": {""alignment"": 0.8947961604595185, ""uniformity"": -0.4166393610835075, ""effective_rank"": 4.114274544715881, ""weight_entropy_ratio"": 0.9754438923262676}, ""Voice_Quality"": {""alignment"": 0.9933976030349732, ""uniformity"": -0.026340245101600886, ""effective_rank"": 1.8934234762191773, ""weight_entropy_ratio"": 0.9212286938406709}, ""Scene"": {""alignment"": 0.9736701023578643, ""uniformity"": -0.10085905440151692, ""effective_rank"": 2.4523754501342774, ""weight_entropy_ratio"": 0.9958302127509208}}",-0.02035993555560708,0.8947961604595185,1.8267466878890992,-0.02035993555560708,-0.11705763129889965,0.963375252028969,"[0.3296400644443929, 0.6732533121109008]",COMPLETE
19,0.9509851939678191,2026-07-30 03:09:55.166063,2026-07-30 03:44:34.393446,0 days 00:34:39.227383,1.5342369562212745,1.0491215697714007,1.5816345811786443,0.5084141889295717,2.3036749784136203,0.4908794051690766,2.343967840671539,2.8920946516990664,"{""Prosody"": {""alignment"": 0.9708402585983277, ""uniformity"": -0.11672693260014057, ""effective_rank"": 2.355644233226776, ""weight_entropy_ratio"": 0.9856864311438933}, ""Vocal_Tract"": {""alignment"": 0.97592564702034, ""uniformity"": -0.0961787910759449, ""effective_rank"": 2.3670381236076357, ""weight_entropy_ratio"": 0.7979845541524709}, ""Timbre"": {""alignment"": 0.9646159565448761, ""uniformity"": -0.13574553221464158, ""effective_rank"": 2.9983074855804444, ""weight_entropy_ratio"": 0.9952364679382002}, ""Voice_Quality"": {""alignment"": 0.9779177761077881, ""uniformity"": -0.0817489168420434, ""effective_rank"": 2.343967840671539, ""weight_entropy_ratio"": 0.990417887630489}, ""Scene"": {""alignment"": 0.8656263315677643, ""uniformity"": -0.5086741256713867, ""effective_rank"": 4.395515575408935, ""weight_entropy_ratio"": 0.9619770505073418}}",-0.0817489168420434,0.8656263315677643,2.343967840671539,-0.0817489168420434,-0.18781485968083145,0.946260478274479,"[0.26425446778535844, 0.15603215932846082]",COMPLETE
