trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,mult_Prosody,mult_Vocal_Tract,mult_Timbre,mult_Voice_Quality,mult_Scene
0,0.9831064891815186,-0.012340708449482918,1.6340292119979858,0.9300031459331513,-0.012340708449482918,1.6340292119979858,-0.07900854431651533,1.953347327232361,0.9656695530102255,0.23730684991589224,,False,0.9967372238636016,-0.012852749563753605,1.6393133807182312,0.9984522783810321,0.9968467223644256,-0.012340708449482918,1.6340292119979858,0.995293750987402,0.9951457309722901,-0.019330697199329734,1.7156485962867736,0.9980979986272842,0.9967996227741241,-0.012542174756526947,1.6363958311080933,0.8975444375504202,0.9300031459331513,-0.3379763916134834,3.14134961605072,0.9389592995049888,2.87678576602479,2.3299848545285125,1.9966462104925915,0.8900466011060912,0.8899863008405067
1,0.9985805397033691,-0.004706387354526669,1.5008177518844605,0.9982433545589448,-0.004706387354526669,1.5008177518844605,-0.00580199345899746,1.5181144113540652,0.9590322968885464,0.10439511711064378,,False,0.9988161957263947,-0.004706387354526669,1.5009065318107604,0.9978334552583762,0.998805820941925,-0.004750062660314143,1.5008177518844605,0.9920853639084564,0.9982895815372467,-0.0071175154764205216,1.5383848428726197,0.9988333927320473,0.9987477457523346,-0.005082834106869996,1.5082076120376586,0.8076640026220447,0.9982433545589448,-0.0073531676968559626,1.5422553181648255,0.998745269921807,2.665440364437338,2.002787529358022,2.2701814444901136,0.5514612357395061,2.9247746304049858
2,0.9572655384540557,-0.09702972240746022,2.436366891860962,0.9095186245441437,-0.09702972240746022,2.436366891860962,-0.16978994726389648,2.838736358165741,0.960366148548734,0.42962590913617715,,False,0.9697335743904114,-0.13420277696102859,2.5617347073554995,0.9551170900163455,0.9748024833202362,-0.09702972240746022,2.436366891860962,0.9350771057706271,0.9095186245441437,-0.35781451970338823,3.704168930053711,0.9720798908239,0.9737354469299316,-0.09791503436863422,2.5311681509017943,0.9468717169059705,0.958537563085556,-0.1619876828789711,2.960243110656738,0.9926849392268278,1.0308477766956905,0.9545624180177515,0.9585112746335845,1.2606056073988443,1.8118910790805947
3,0.9583021211624145,-0.057121987752616406,2.224226002693176,0.9210749077796936,-0.057121987752616406,2.224226002693176,-0.18384830682724712,2.981981714248657,0.9702080595812332,0.2614169078296886,,False,0.9593074643611907,-0.19372576862573623,2.6545531868934633,0.972239803892921,0.9852103567123414,-0.057507029920816424,2.224226002693176,0.9928331026645442,0.9210749077796936,-0.35811259746551516,4.157760224342346,0.9572372879095572,0.9854146647453308,-0.057121987752616406,2.2376066565513613,0.9453424084199284,0.9405032122135162,-0.2527741503715515,3.6357625007629393,0.9833876950192147,1.2280728504951048,2.0296322368059485,0.8487346516301046,1.2303616213380453,1.4159046082342293
4,0.9677592780590056,-0.033388209454715254,2.2823366689682008,0.8749169969558716,-0.033388209454715254,2.2823366689682008,-0.16600570881366727,2.7896987972259524,0.9547056936348559,0.2715493933711551,,False,0.9915480422973633,-0.033388209454715254,2.2823366689682008,0.9971902535785359,0.9914305853843689,-0.0343781753629446,2.2909452152252197,0.9444929292967782,0.989552229642868,-0.04348544735461474,2.3703824996948244,0.9969497665122562,0.9913485360145569,-0.03389865048229694,2.2877731370925902,0.9840315757354418,0.8749169969558716,-0.684878061413765,4.717056465148926,0.8508639430512683,2.462939903482534,0.9991844553958993,1.785586096034029,1.9810364221551062,0.6161260317999944
5,0.9710153667926789,-0.03659885739907622,2.191041121482849,0.9174125361442566,-0.03659885739907622,2.191041121482849,-0.12846399608626963,2.5019690132141115,0.9598760037420476,0.3351688377986041,,False,0.9174125361442566,-0.4012753111124039,3.2467833614349364,0.9375313343223595,0.9690798687934875,-0.11636754006147385,2.5563556814193724,0.869065192287798,0.9892458558082581,-0.04240553177893162,2.264670009613037,0.999511540616701,0.9905641388893127,-0.03659885739907622,2.191041121482849,0.9956001759395384,0.9887744343280792,-0.04567274007946253,2.2509948921203615,0.9976717755438412,0.9263103092182288,0.6626289824631988,2.8722138431333333,2.9140800826863984,2.5209933702911527
6,0.9916805691719057,-0.008122129142284393,1.8272651791572572,0.9785508751869202,-0.008122129142284393,1.8272651791572572,-0.03475718292407692,2.2335131273269657,0.9537970214137127,0.20793778305281568,,False,0.9979142904281616,-0.008554970370605588,1.8390455532073975,0.9024200592164158,0.9979667282104492,-0.008122129142284393,1.8272651791572572,0.9950231308182893,0.9862505292892456,-0.05674351990222931,2.694431252479553,0.9958150667867744,0.9977204227447509,-0.00911151284351945,1.8475527024269105,0.8838562528876777,0.9785508751869202,-0.09125378236174583,2.9592709493637086,0.9918705973594062,0.7441802850159597,2.210582566280392,1.6003812343490034,0.8050955871119471,1.7379422752781755
7,0.9976946518421174,-0.0027039036201313136,1.519510998725891,0.9934768438339233,-0.0027039036201313136,1.519510998725891,-0.009949612188152969,1.5979565296173097,0.9806371200265943,0.09444317886839172,,False,0.9992955982685089,-0.002822155782487243,1.5202887487411498,0.9983110871508232,0.9993272387981414,-0.0027039036201313136,1.519510998725891,0.962413561567495,0.9974305999279022,-0.010714593692682683,1.629478120803833,0.9986486971367373,0.9989429783821105,-0.0043414952582679685,1.548762984275818,0.9508393092486628,0.9934768438339233,-0.029165912587195635,1.771741795539856,0.9929729450292529,2.7733010051969553,1.1469499540000423,2.156305710884955,1.2792776902235274,1.800170052944527
8,0.9955267052650452,-0.006235061511397362,1.7834600758552552,0.9901520907878876,-0.006235061511397362,1.7834600758552552,-0.017937913427129387,1.963238669872284,0.9871120975006271,0.30961831732417744,,False,0.9981536960601807,-0.007494666008278727,1.8196566772460938,0.9449972922046709,0.9984363150596619,-0.006235061511397362,1.7834600758552552,0.9976641150926739,0.9925887894630432,-0.029441140852868558,2.1412368535995485,0.9991500561718013,0.9983026349544525,-0.0068124056048691276,1.8012242126464844,0.9953934381325769,0.9901520907878876,-0.039706293158233166,2.2706155300140383,0.9983555859014125,0.9621361388138177,2.9239615694113965,2.4378320584027864,2.848747353910473,2.737068376069122
9,0.9694191641807557,-0.008580813519656658,1.7394423508644103,0.9244993376731873,-0.008580813519656658,1.7394423508644103,-0.12624054107628763,2.5679253125190735,0.9322599587412194,0.33111799110065576,,False,0.9978485381603241,-0.008580813519656658,1.7394423508644103,0.9982817297607438,0.9976831984519958,-0.009144357787445188,1.7532534217834472,0.8866352725994378,0.929321209192276,-0.29599855303764344,3.84138662815094,0.9750769847975488,0.9977435374259949,-0.008932825643569231,1.7518396282196045,0.8222411425910849,0.9244993376731873,-0.30854615539312363,3.753704533576965,0.9790646639572812,2.804685587557792,0.7212312551297988,0.989957156047863,0.6130682222763452,1.313325826908161
