trial_number,alignment,uniformity,effective_rank,weight_entropy_ratio,tau,sigma_scale,feasible
0,0.9647941990693412,-0.29019468580683067,3.3388505045572914,0.9475727909004871,0.40581311290499433,4.266498147616723,False
1,0.92904505332311,-0.4800975100199381,3.1689927085240677,0.9465350602564524,0.7453942447208348,1.3737845955327985,False
2,0.9955188802878062,-0.07137702687953909,1.885417281786601,0.9451631558575286,0.19821770842031466,0.33044636340245687,False
3,0.9989102105299632,-0.028855567359520738,1.6004861235618593,0.9480880153214726,0.10517943155978948,3.2500667782303387,False
4,0.9508410334587095,-0.32666604667902,3.109875378608704,0.9467881025904276,0.6210592611560484,1.9537679506141499,False
5,0.9992148605982462,-0.020725602951133622,1.4874496420224508,0.9436714901563905,0.06955526958101232,4.538431478276444,False
6,0.9626842514673869,-0.2790011018142104,3.163730586369833,0.9456722532219446,0.8408205087604007,0.39615699970476376,False
7,0.9933522486686706,-0.07312857963765661,2.230435378551483,0.9466686209591316,0.2227337188467456,0.36092627369617003,False
8,0.9841983218987783,-0.1448058525348703,2.819594683647155,0.9448423130830883,0.3390301308115608,1.0829490041084235,False
9,0.9853182824452718,-0.16716769703353443,2.699108650684357,0.946750577198255,0.46034776771000996,0.5106823667399514,False
10,0.9285511469841004,-0.5290368808681767,3.5688208214441937,0.9458799282525738,0.9717772608932086,0.9177263374530921,False
11,0.903477558294932,-0.6519411116341749,4.126139567693074,0.9451179926487352,0.9710602552484724,1.032928082916835,False
12,0.9336284716924032,-0.4488304170966148,3.4252993599573776,0.9465562849389854,0.9911623929880261,0.7054182888202677,False
