number,value,datetime_start,datetime_complete,duration,params_sigma_scale,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9878366216023763,2026-07-25 15:03:52.132682,2026-07-25 15:18:08.934783,0 days 00:14:16.802101,4.266498147616723,0.40581311290499433,1.9468949516614278,2.5180514597892762,"{""Prosody"": {""alignment"": 0.9948312699794769, ""uniformity"": -0.021260377174864214, ""effective_rank"": 2.0262956460316977, ""weight_entropy_ratio"": 0.9451409252804165}, ""Vocal_Tract"": {""alignment"": 0.9951940953731537, ""uniformity"": -0.019490637785444655, ""effective_rank"": 2.0008244434992473, ""weight_entropy_ratio"": 0.9423666952688178}, ""Timbre"": {""alignment"": 0.9840662141640981, ""uniformity"": -0.22489643692970276, ""effective_rank"": 3.2513576984405517, ""weight_entropy_ratio"": 0.9765122874095162}, ""Voice_Quality"": {""alignment"": 0.9956530491511028, ""uniformity"": -0.017164570465683936, ""effective_rank"": 1.9468949516614278, ""weight_entropy_ratio"": 0.9196837840141036}, ""Scene"": {""alignment"": 0.9694384793440501, ""uniformity"": -0.378324689467748, ""effective_rank"": 3.3648845593134564, ""weight_entropy_ratio"": 0.9569009953309605}}",-0.017164570465683936,0.9694384793440501,1.9468949516614278,-0.017164570465683936,-0.13222734236468872,0.9481209374607629,"[0.4328354295343161, 0.5531050483385722]",COMPLETE
1,0.9707448192437489,2026-07-25 15:18:11.611243,2026-07-25 15:31:54.342182,0 days 00:13:42.730939,1.3737845955327985,0.7453942447208348,1.915333898862203,2.7845170410474145,"{""Prosody"": {""alignment"": 0.9927012006441752, ""uniformity"": -0.029678166719774406, ""effective_rank"": 1.9488864143689473, ""weight_entropy_ratio"": 0.9502110080056876}, ""Vocal_Tract"": {""alignment"": 0.9921604255835216, ""uniformity"": -0.028685034221659102, ""effective_rank"": 1.9400752941767374, ""weight_entropy_ratio"": 0.9511414144551992}, ""Timbre"": {""alignment"": 0.9475335439046224, ""uniformity"": -0.5568841606378555, ""effective_rank"": 4.082392160097758, ""weight_entropy_ratio"": 0.9759697795367029}, ""Voice_Quality"": {""alignment"": 0.9927195608615875, ""uniformity"": -0.026784792348432045, ""effective_rank"": 1.915333898862203, ""weight_entropy_ratio"": 0.9162214043338779}, ""Scene"": {""alignment"": 0.9286093652248383, ""uniformity"": -0.7086788594722748, ""effective_rank"": 4.035897437731425, ""weight_entropy_ratio"": 0.9530262640913951}}",-0.026784792348432045,0.9286093652248383,1.915333898862203,-0.026784792348432045,-0.2701422026799991,0.9493139740845727,"[0.42321520765156795, 0.5846661011377969]",COMPLETE
2,0.9936622468630475,2026-07-25 15:31:54.483312,2026-07-25 15:45:54.300093,0 days 00:13:59.816781,0.33044636340245687,0.19821770842031466,1.6491977016131083,2.0960517358779907,"{""Prosody"": {""alignment"": 0.9968067427476247, ""uniformity"": -0.012731714919209481, ""effective_rank"": 1.6491977016131083, ""weight_entropy_ratio"": 0.9501727498680357}, ""Vocal_Tract"": {""alignment"": 0.9966195960839589, ""uniformity"": -0.013441536451379459, ""effective_rank"": 1.6756317853927611, ""weight_entropy_ratio"": 0.9394021336599006}, ""Timbre"": {""alignment"": 0.9897046367327372, ""uniformity"": -0.13830540478229522, ""effective_rank"": 2.704148451487223, ""weight_entropy_ratio"": 0.975482753156667}, ""Voice_Quality"": {""alignment"": 0.9967453996340434, ""uniformity"": -0.01289970576763153, ""effective_rank"": 1.65666264295578, ""weight_entropy_ratio"": 0.9177350972848488}, ""Scene"": {""alignment"": 0.9884348591168721, ""uniformity"": -0.19335908343394598, ""effective_rank"": 2.794618097941081, ""weight_entropy_ratio"": 0.9523431381411196}}",-0.012731714919209481,0.9884348591168721,1.6491977016131083,-0.012731714919209481,-0.07414748907089233,0.9470271744221144,"[0.4372682850807905, 0.8508022983868917]",COMPLETE
3,0.9990556478500366,2026-07-25 15:45:57.396260,2026-07-25 16:00:51.946214,0 days 00:14:54.549954,3.2500667782303387,0.10517943155978948,1.387858521938324,1.5794265071551008,"{""Prosody"": {""alignment"": 0.9994772454102834, ""uniformity"": -0.002236895162301759, ""effective_rank"": 1.3934714357058207, ""weight_entropy_ratio"": 0.9479535553751267}, ""Vocal_Tract"": {""alignment"": 0.9994280914465586, ""uniformity"": -0.002244155896672358, ""effective_rank"": 1.3947012702624002, ""weight_entropy_ratio"": 0.9438912643110637}, ""Timbre"": {""alignment"": 0.9981672962506613, ""uniformity"": -0.04302352030451099, ""effective_rank"": 1.8217899084091187, ""weight_entropy_ratio"": 0.9769213435323815}, ""Voice_Quality"": {""alignment"": 0.9994415005048116, ""uniformity"": -0.002248197828885168, ""effective_rank"": 1.387858521938324, ""weight_entropy_ratio"": 0.9130147528258997}, ""Scene"": {""alignment"": 0.9987641056378682, ""uniformity"": -0.06655204979081948, ""effective_rank"": 1.899311399459839, ""weight_entropy_ratio"": 0.9540628687626648}}",-0.002236895162301759,0.9981672962506613,1.387858521938324,-0.002236895162301759,-0.023260963796637956,0.9471687569614271,"[0.44776310483769827, 1.112141478061676]",COMPLETE
4,0.9773356719811759,2026-07-25 16:00:53.212338,2026-07-25 16:16:33.022441,0 days 00:15:39.810103,1.9537679506141499,0.6210592611560484,2.011331681410472,2.727262143294017,"{""Prosody"": {""alignment"": 0.994668443997701, ""uniformity"": -0.024327639893939098, ""effective_rank"": 2.0141213059425356, ""weight_entropy_ratio"": 0.9459299271978937}, ""Vocal_Tract"": {""alignment"": 0.9938873648643494, ""uniformity"": -0.02429472878575325, ""effective_rank"": 2.011331681410472, ""weight_entropy_ratio"": 0.9454026822983216}, ""Timbre"": {""alignment"": 0.9564623177051544, ""uniformity"": -0.4486923853556315, ""effective_rank"": 3.739933244387309, ""weight_entropy_ratio"": 0.9771385757124236}, ""Voice_Quality"": {""alignment"": 0.9936011175314585, ""uniformity"": -0.02447373013322552, ""effective_rank"": 2.0303652405738832, ""weight_entropy_ratio"": 0.9166622255487217}, ""Scene"": {""alignment"": 0.9480591158072154, ""uniformity"": -0.5525728215773901, ""effective_rank"": 3.840559244155884, ""weight_entropy_ratio"": 0.9556794127080079}}",-0.02429472878575325,0.9480591158072154,2.011331681410472,-0.02429472878575325,-0.2148722611491879,0.9481625646930738,"[0.4257052712142468, 0.4886683185895282]",COMPLETE
5,0.9994429886341093,2026-07-25 16:16:34.820969,2026-07-25 16:32:20.832054,0 days 00:15:46.011085,4.538431478276444,0.06955526958101232,1.2248207966486613,1.4276991248130801,"{""Prosody"": {""alignment"": 0.9997843702634176, ""uniformity"": -0.0008891870209481567, ""effective_rank"": 1.2248207966486613, ""weight_entropy_ratio"": 0.948401126672016}, ""Vocal_Tract"": {""alignment"": 0.9997939705848694, ""uniformity"": -0.0009162973709559689, ""effective_rank"": 1.2270054936408996, ""weight_entropy_ratio"": 0.940954742684909}, ""Timbre"": {""alignment"": 0.9985226353009542, ""uniformity"": -0.03506213715299964, ""effective_rank"": 1.6944093227386474, ""weight_entropy_ratio"": 0.9781561692830528}, ""Voice_Quality"": {""alignment"": 0.9997749586900075, ""uniformity"": -0.001043990582305317, ""effective_rank"": 1.236199967066447, ""weight_entropy_ratio"": 0.9165082722708104}, ""Scene"": {""alignment"": 0.9993390083312989, ""uniformity"": -0.04733420815318823, ""effective_rank"": 1.756060043970744, ""weight_entropy_ratio"": 0.9557939953027754}}",-0.0008891870209481567,0.9985226353009542,1.2248207966486613,-0.0008891870209481567,-0.01704916405607946,0.9479628612427126,"[0.44911081297905187, 1.2751792033513387]",COMPLETE
6,0.9289956764380138,2026-07-25 16:32:22.418875,2026-07-25 16:47:46.162109,0 days 00:15:23.743234,0.39615699970476376,0.8408205087604007,3.131518069903056,3.9912833611170453,"{""Prosody"": {""alignment"": 0.9099676728248596, ""uniformity"": -0.6323313643534978, ""effective_rank"": 3.732727328936259, ""weight_entropy_ratio"": 0.9467709904898514}, ""Vocal_Tract"": {""alignment"": 0.9425254901250203, ""uniformity"": -0.21697919170061747, ""effective_rank"": 3.1742525180180867, ""weight_entropy_ratio"": 0.9479472253749136}, ""Timbre"": {""alignment"": 0.920084536075592, ""uniformity"": -0.8134949843088786, ""effective_rank"": 4.814502636591594, ""weight_entropy_ratio"": 0.9759131164438858}, ""Voice_Quality"": {""alignment"": 0.9458889742692311, ""uniformity"": -0.1895534330358108, ""effective_rank"": 3.131518069903056, ""weight_entropy_ratio"": 0.9137514842870716}, ""Scene"": {""alignment"": 0.9265117088953654, ""uniformity"": -0.8069719930489858, ""effective_rank"": 5.10341625213623, ""weight_entropy_ratio"": 0.9554436950091615}}",-0.1895534330358108,0.9099676728248596,3.131518069903056,-0.1895534330358108,-0.5318661932895581,0.9479653023209768,"[0.2604465669641892, -0.631518069903056]",COMPLETE
7,0.9940973285833995,2026-07-25 16:47:47.805241,2026-07-25 17:02:45.404168,0 days 00:14:57.598927,0.36092627369617003,0.2227337188467456,1.5192259907722474,2.0010419082641597,"{""Prosody"": {""alignment"": 0.9983062247435252, ""uniformity"": -0.0070108787156641485, ""effective_rank"": 1.5234038352966308, ""weight_entropy_ratio"": 0.9489616443545266}, ""Vocal_Tract"": {""alignment"": 0.9982227782408396, ""uniformity"": -0.007093244899685184, ""effective_rank"": 1.5231805205345155, ""weight_entropy_ratio"": 0.9466887963961746}, ""Timbre"": {""alignment"": 0.9887390037377676, ""uniformity"": -0.14566711137692134, ""effective_rank"": 2.7160170157750447, ""weight_entropy_ratio"": 0.978135337827806}, ""Voice_Quality"": {""alignment"": 0.9982516010602315, ""uniformity"": -0.006880906550213695, ""effective_rank"": 1.5192259907722474, ""weight_entropy_ratio"": 0.9176249284265936}, ""Scene"": {""alignment"": 0.9869670351346334, ""uniformity"": -0.19689781392614047, ""effective_rank"": 2.7233821789423627, ""weight_entropy_ratio"": 0.9589576296638503}}",-0.006880906550213695,0.9869670351346334,1.5192259907722474,-0.006880906550213695,-0.07270999109372497,0.9500736673337902,"[0.44311909344978634, 0.9807740092277526]",COMPLETE
8,0.9905218656857808,2026-07-25 17:02:47.161404,2026-07-25 17:18:53.751061,0 days 00:16:06.589657,1.0829490041084235,0.3390301308115608,1.5605572541554769,2.0927851883570354,"{""Prosody"": {""alignment"": 0.9958200772603353, ""uniformity"": -0.017148682909707228, ""effective_rank"": 1.570897142092387, ""weight_entropy_ratio"": 0.9509728580586142}, ""Vocal_Tract"": {""alignment"": 0.9957468787829081, ""uniformity"": -0.016802464487651984, ""effective_rank"": 1.5622724374135335, ""weight_entropy_ratio"": 0.9477161573489508}, ""Timbre"": {""alignment"": 0.982595580816269, ""uniformity"": -0.22851647511124612, ""effective_rank"": 2.9205464919408164, ""weight_entropy_ratio"": 0.9767258616167082}, ""Voice_Quality"": {""alignment"": 0.9956373949845632, ""uniformity"": -0.016604764806106686, ""effective_rank"": 1.5605572541554769, ""weight_entropy_ratio"": 0.9163609520658497}, ""Scene"": {""alignment"": 0.9828093965848287, ""uniformity"": -0.2789198795954386, ""effective_rank"": 2.849652616182963, ""weight_entropy_ratio"": 0.956874578130071}}",-0.016604764806106686,0.982595580816269,1.5605572541554769,-0.016604764806106686,-0.11159845338203016,0.949730081444039,"[0.43339523519389334, 0.9394427458445231]",COMPLETE
9,0.9864831499258677,2026-07-25 17:18:55.127239,2026-07-25 17:36:01.105482,0 days 00:17:05.978243,0.5106823667399514,0.46034776771000996,1.4973560571670532,2.320734407107035,"{""Prosody"": {""alignment"": 0.998702488342921, ""uniformity"": -0.005476673226803541, ""effective_rank"": 1.5122069358825683, ""weight_entropy_ratio"": 0.9488264739136114}, ""Vocal_Tract"": {""alignment"": 0.998790729045868, ""uniformity"": -0.004666407879752418, ""effective_rank"": 1.4973560571670532, ""weight_entropy_ratio"": 0.9428009006743477}, ""Timbre"": {""alignment"": 0.9690430343151093, ""uniformity"": -0.31338604936997094, ""effective_rank"": 3.5500372012456256, ""weight_entropy_ratio"": 0.9767081683070215}, ""Voice_Quality"": {""alignment"": 0.9985439002513885, ""uniformity"": -0.0056329603306949135, ""effective_rank"": 1.5251272042592368, ""weight_entropy_ratio"": 0.9218825287699602}, ""Scene"": {""alignment"": 0.967335597674052, ""uniformity"": -0.39141926864782967, ""effective_rank"": 3.5189446369806925, ""weight_entropy_ratio"": 0.954103572582217}}",-0.004666407879752418,0.967335597674052,1.4973560571670532,-0.004666407879752418,-0.1441162718910103,0.9488643288494317,"[0.4453335921202476, 1.0026439428329468]",COMPLETE
