trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio
0,0.9878366216023763,-0.017164570465683936,1.9468949516614278,0.9694384793440501,-0.017164570465683936,1.9468949516614278,-0.13222734236468872,2.5180514597892762,0.9481209374607629,0.40581311290499433,4.266498147616723,False,0.9948312699794769,-0.021260377174864214,2.0262956460316977,0.9451409252804165,0.9951940953731537,-0.019490637785444655,2.0008244434992473,0.9423666952688178,0.9840662141640981,-0.22489643692970276,3.2513576984405517,0.9765122874095162,0.9956530491511028,-0.017164570465683936,1.9468949516614278,0.9196837840141036,0.9694384793440501,-0.378324689467748,3.3648845593134564,0.9569009953309605
1,0.9707448192437489,-0.026784792348432045,1.915333898862203,0.9286093652248383,-0.026784792348432045,1.915333898862203,-0.2701422026799991,2.7845170410474145,0.9493139740845727,0.7453942447208348,1.3737845955327985,False,0.9927012006441752,-0.029678166719774406,1.9488864143689473,0.9502110080056876,0.9921604255835216,-0.028685034221659102,1.9400752941767374,0.9511414144551992,0.9475335439046224,-0.5568841606378555,4.082392160097758,0.9759697795367029,0.9927195608615875,-0.026784792348432045,1.915333898862203,0.9162214043338779,0.9286093652248383,-0.7086788594722748,4.035897437731425,0.9530262640913951
2,0.9936622468630475,-0.012731714919209481,1.6491977016131083,0.9884348591168721,-0.012731714919209481,1.6491977016131083,-0.07414748907089233,2.0960517358779907,0.9470271744221144,0.19821770842031466,0.33044636340245687,False,0.9968067427476247,-0.012731714919209481,1.6491977016131083,0.9501727498680357,0.9966195960839589,-0.013441536451379459,1.6756317853927611,0.9394021336599006,0.9897046367327372,-0.13830540478229522,2.704148451487223,0.975482753156667,0.9967453996340434,-0.01289970576763153,1.65666264295578,0.9177350972848488,0.9884348591168721,-0.19335908343394598,2.794618097941081,0.9523431381411196
3,0.9990556478500366,-0.002236895162301759,1.387858521938324,0.9981672962506613,-0.002236895162301759,1.387858521938324,-0.023260963796637956,1.5794265071551008,0.9471687569614271,0.10517943155978948,3.2500667782303387,False,0.9994772454102834,-0.002236895162301759,1.3934714357058207,0.9479535553751267,0.9994280914465586,-0.002244155896672358,1.3947012702624002,0.9438912643110637,0.9981672962506613,-0.04302352030451099,1.8217899084091187,0.9769213435323815,0.9994415005048116,-0.002248197828885168,1.387858521938324,0.9130147528258997,0.9987641056378682,-0.06655204979081948,1.899311399459839,0.9540628687626648
4,0.9773356719811759,-0.02429472878575325,2.011331681410472,0.9480591158072154,-0.02429472878575325,2.011331681410472,-0.2148722611491879,2.727262143294017,0.9481625646930738,0.6210592611560484,1.9537679506141499,False,0.994668443997701,-0.024327639893939098,2.0141213059425356,0.9459299271978937,0.9938873648643494,-0.02429472878575325,2.011331681410472,0.9454026822983216,0.9564623177051544,-0.4486923853556315,3.739933244387309,0.9771385757124236,0.9936011175314585,-0.02447373013322552,2.0303652405738832,0.9166622255487217,0.9480591158072154,-0.5525728215773901,3.840559244155884,0.9556794127080079
5,0.9994429886341093,-0.0008891870209481567,1.2248207966486613,0.9985226353009542,-0.0008891870209481567,1.2248207966486613,-0.01704916405607946,1.4276991248130801,0.9479628612427126,0.06955526958101232,4.538431478276444,False,0.9997843702634176,-0.0008891870209481567,1.2248207966486613,0.948401126672016,0.9997939705848694,-0.0009162973709559689,1.2270054936408996,0.940954742684909,0.9985226353009542,-0.03506213715299964,1.6944093227386474,0.9781561692830528,0.9997749586900075,-0.001043990582305317,1.236199967066447,0.9165082722708104,0.9993390083312989,-0.04733420815318823,1.756060043970744,0.9557939953027754
6,0.9289956764380138,-0.1895534330358108,3.131518069903056,0.9099676728248596,-0.1895534330358108,3.131518069903056,-0.5318661932895581,3.9912833611170453,0.9479653023209768,0.8408205087604007,0.39615699970476376,False,0.9099676728248596,-0.6323313643534978,3.732727328936259,0.9467709904898514,0.9425254901250203,-0.21697919170061747,3.1742525180180867,0.9479472253749136,0.920084536075592,-0.8134949843088786,4.814502636591594,0.9759131164438858,0.9458889742692311,-0.1895534330358108,3.131518069903056,0.9137514842870716,0.9265117088953654,-0.8069719930489858,5.10341625213623,0.9554436950091615
7,0.9940973285833995,-0.006880906550213695,1.5192259907722474,0.9869670351346334,-0.006880906550213695,1.5192259907722474,-0.07270999109372497,2.0010419082641597,0.9500736673337902,0.2227337188467456,0.36092627369617003,False,0.9983062247435252,-0.0070108787156641485,1.5234038352966308,0.9489616443545266,0.9982227782408396,-0.007093244899685184,1.5231805205345155,0.9466887963961746,0.9887390037377676,-0.14566711137692134,2.7160170157750447,0.978135337827806,0.9982516010602315,-0.006880906550213695,1.5192259907722474,0.9176249284265936,0.9869670351346334,-0.19689781392614047,2.7233821789423627,0.9589576296638503
8,0.9905218656857808,-0.016604764806106686,1.5605572541554769,0.982595580816269,-0.016604764806106686,1.5605572541554769,-0.11159845338203016,2.0927851883570354,0.949730081444039,0.3390301308115608,1.0829490041084235,False,0.9958200772603353,-0.017148682909707228,1.570897142092387,0.9509728580586142,0.9957468787829081,-0.016802464487651984,1.5622724374135335,0.9477161573489508,0.982595580816269,-0.22851647511124612,2.9205464919408164,0.9767258616167082,0.9956373949845632,-0.016604764806106686,1.5605572541554769,0.9163609520658497,0.9828093965848287,-0.2789198795954386,2.849652616182963,0.956874578130071
9,0.9864831499258677,-0.004666407879752418,1.4973560571670532,0.967335597674052,-0.004666407879752418,1.4973560571670532,-0.1441162718910103,2.320734407107035,0.9488643288494317,0.46034776771000996,0.5106823667399514,False,0.998702488342921,-0.005476673226803541,1.5122069358825683,0.9488264739136114,0.998790729045868,-0.004666407879752418,1.4973560571670532,0.9428009006743477,0.9690430343151093,-0.31338604936997094,3.5500372012456256,0.9767081683070215,0.9985439002513885,-0.0056329603306949135,1.5251272042592368,0.9218825287699602,0.967335597674052,-0.39141926864782967,3.5189446369806925,0.954103572582217
