trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,sigma_scale_Prosody,sigma_scale_Vocal_Tract,sigma_scale_Timbre,sigma_scale_Voice_Quality,sigma_scale_Scene
0,0.802849292397499,-0.05941887304186821,2.067146911621094,0.3349765759706497,-0.05941887304186821,2.067146911621094,-0.6218452669680119,3.775487240791321,0.3303391879123499,0.40581311290499433,,False,0.9852783274650574,-0.059528019726276395,2.067146911621094,0.8715696430612218,0.984401421546936,-0.06288601040840149,2.098423047065735,0.49793842264351823,0.7258656263351441,-1.5500072813034058,6.435769100189209,0.17377290314875352,0.9837245106697082,-0.05941887304186821,2.0674628448486327,0.1057130072924171,0.3349765759706497,-1.3773861503601075,6.2086343002319335,0.0027019634158386217,0.6446067917131442,0.2472010671271316,0.13781642084590057,0.019811507008137993,0.01980941314259345
1,0.9831218762397766,-0.015457289777696132,1.8558964443206787,0.9438782906532288,-0.015457289777696132,1.8558964443206787,-0.1543143459632993,2.804419645309448,0.46841742496163513,0.10517943155978948,,False,0.9963391494750976,-0.01618207439780235,1.8803050327301025,0.7649676885188709,0.996471803188324,-0.015457289777696132,1.8558964443206787,0.23069169248811572,0.9438782906532288,-0.513827143907547,4.798018064498901,0.401050991677377,0.996150324344635,-0.015686248764395713,1.8695434188842774,0.04770090376896691,0.9827698135375976,-0.21041897296905518,3.6183352661132813,0.8976758483548452,0.44505240269526736,0.13930796876870888,0.22260034488269825,0.010943951128356732,0.7011738775284215
2,0.7503899866715074,-0.09965213552117348,2.3425335025787355,0.16931414801627398,-0.09965213552117348,2.3425335025787355,-0.6238140126764775,3.507222295761108,0.0725144982024601,0.8408205087604007,,False,0.9515889191627502,-0.14387829691171647,2.561359853744507,0.018620704434801846,0.9216544342041015,-0.1973007145524025,2.7799910259246827,0.005724486040138069,0.16931414801627398,-1.3581461143493652,4.958514099121094,0.0007566485741155874,0.969207227230072,-0.09965213552117348,2.3425335025787355,0.19678978924289547,0.740185204744339,-1.3200928020477294,4.893712997436523,0.14068086272034944,0.025357149746909252,0.022183459467487607,0.02233753707146985,0.0379315304811478,0.09969163314376206
3,0.923001002073288,-0.020134583571925758,1.5450997257232666,0.7099507629871369,-0.020134583571925758,1.5450997257232666,-0.18345177318900824,2.042178109169006,0.10352505993597902,0.46034776771000996,,False,0.9946975326538086,-0.02113324505276978,1.5471931552886964,0.032854446603812676,0.9948357129096985,-0.020134583571925758,1.5450997257232666,0.2662651249378034,0.7099507629871369,-0.2706384846568108,2.5514115142822265,0.00023850763023895597,0.9947912359237671,-0.021397138368338346,1.5629027223587035,0.18512545699284796,0.9207297658920288,-0.5839554142951965,3.0042834281921387,0.03314176351519208,0.03582904732228081,0.14601958757320885,0.01842762515380366,0.035973074355814795,0.049798877730035475
4,0.7631814349293708,-0.09111592508852481,2.443584690093994,0.20849211126565934,-0.09111592508852481,2.443584690093994,-0.6854408223628999,4.131356217384339,0.23784223470138052,0.4832664850061841,,False,0.9759799742698669,-0.09461416758596897,2.4655709505081176,0.6257092122368721,0.9439482402801513,-0.16748921021819116,2.867828674316406,0.00510955302490142,0.7109398198127747,-1.5503859949111938,6.486336936950684,0.0842988290579252,0.9765470290184021,-0.09111592508852481,2.443584690093994,0.4735391813201008,0.20849211126565934,-1.52359881401062,6.39345983505249,0.0005543978671030373,0.3120761001246059,0.023988173178435747,0.0951994437281987,0.13409674439039196,0.012257426996771148
5,0.9051938910484314,-0.06761827796697617,2.351280436515808,0.8301018238067627,-0.06761827796697617,2.351280436515808,-0.509115074545145,3.407455164909363,0.4811587051445296,0.6271676093063665,,False,0.97720388174057,-0.090343047529459,2.4916240310668947,0.012014322925128268,0.8301018238067627,-0.3339790579676628,3.3774449920654295,0.0014185562501123755,0.8957657980918884,-0.9547639894485473,4.388168392181396,0.9039462015514422,0.9822844219207764,-0.06761827796697617,2.351280436515808,0.8503872549043077,0.8406135296821594,-1.09887099981308,4.428757972717285,0.6380271900916572,0.02111167795251689,0.013298389079948765,0.6394617395245432,0.6881524386672039,0.3455038560200077
6,0.9273497648239137,-0.053214491717517375,1.931946816444397,0.8412632632255554,-0.053214491717517375,1.931946816444397,-0.37927101588994266,2.9809013624191287,0.12892997598774816,0.33938308071470213,,False,0.9775391697883606,-0.0787379128485918,2.1146315288543702,0.007074066912737358,0.9862855410575867,-0.053214491717517375,1.931946816444397,0.3994240837953212,0.8412632632255554,-0.8383920454978943,4.3087877178192135,0.03396186172655737,0.975784273147583,-0.091154875010252,2.2062893104553223,0.08560720586243692,0.8558765769004821,-0.8348557543754578,4.342851438522339,0.11858266164168799,0.015341888502386696,0.20051968861243996,0.0688097220539007,0.017070637605872362,0.08757219176818286
7,0.9721140122413635,-0.03434786736965179,1.9340706205368041,0.9477096104621887,-0.03434786736965179,1.9340706205368041,-0.273657265022397,3.322336379051208,0.2933352043991109,0.08266909505945748,,False,0.9846007227897644,-0.12665888234972955,2.3306308126449586,0.8193704495144195,0.986228210926056,-0.05731956891715526,2.1069303369522094,0.009934408074295529,0.9508224129676819,-0.5527677476406098,5.019058170318604,0.3024556541464524,0.9912091040611267,-0.03434786736965179,1.9340706205368041,0.1976629160959328,0.9477096104621887,-0.5971922588348388,5.220991954803467,0.13725259416445432,0.537673400929284,0.031080041628153792,0.18232218861172397,0.039193516226890844,0.09766439040435951
8,0.9040762786865235,-0.0757527745515108,2.2356068897247314,0.7686334824562073,-0.0757527745515108,2.2356068897247314,-0.5519595246315003,3.509029729843139,0.6183258734292264,0.5693747653761156,,False,0.9481198692321777,-0.1761886052787304,2.810914249420166,0.011269325409800374,0.9785919332504273,-0.08215875931084156,2.279365940093994,0.8755377843875688,0.7686334824562073,-1.3680878925323485,5.370366401672364,0.5816981570894268,0.9797331643104553,-0.0757527745515108,2.2356068897247314,0.8256076588299005,0.8453029441833496,-1.0576095914840697,4.848895168304443,0.7975164414294353,0.022479914927288545,0.7001753169203452,0.29863968217735326,0.6136928005932464,0.5045880612021502
9,0.8561595046520232,-0.01258227152749896,1.6239295101165772,0.47731119513511655,-0.01258227152749896,1.6239295101165772,-0.33540800312161445,2.717660661697388,0.1838856597113754,0.6180049798705309,,False,0.9969863629341126,-0.01258227152749896,1.6239295101165772,0.8360430485849293,0.9937072920799256,-0.025021532513201238,1.922427806854248,0.0016081625601014936,0.47731119513511655,-0.7102052879333496,4.0961521625518795,0.0005931594580143774,0.9961262702941894,-0.015399591904133559,1.6891565132141113,0.05685241914326361,0.8166664028167725,-0.913831331729889,4.2566373157501225,0.024331508810568517,0.5680801652040023,0.014737003768595706,0.02360331612789734,0.012191905861905931,0.04160378994089616
10,0.7689100950211286,-0.024156338647007943,1.4498609828948974,0.22025238655507565,-0.024156338647007943,1.4498609828948974,-0.4735197865217924,2.3236307525634765,0.209536207752023,0.9478797170188673,,False,0.9933678555488586,-0.02663232747465372,1.4667721509933471,0.4266973627373347,0.9931145906448364,-0.026524781696498394,1.4629545545578002,0.03478296475352467,0.6441758918762207,-1.083252456188202,3.4833536911010743,0.03241357834555816,0.9936397504806519,-0.024156338647007943,1.4498609828948974,0.5535903504847667,0.22025238655507565,-1.2070330286026,3.7552123832702637,0.00019678243893069856,0.19239755253753918,0.05031807698932517,0.06485794193264949,0.18763042363455695,0.011849432198052972
11,0.9015758206844331,-0.00851105673238635,1.4225308418273925,0.7463491845130921,-0.00851105673238635,1.4225308418273925,-0.3125391878969967,2.182192019462586,0.19034647754518438,0.8731949185653521,,False,0.9973642826080322,-0.010177619196474553,1.4678324842453003,0.1618881671967389,0.9973349165916443,-0.010099674835801124,1.4638306140899657,0.009997383358205878,0.7690469110012055,-0.35036455988883974,2.9293516731262206,2.126874493269034e-07,0.997783808708191,-0.00851105673238635,1.4225308418273925,0.43797410849887647,0.7463491845130921,-1.1835430288314819,3.627414484024048,0.3418725159846514,0.08729112326863887,0.03196079295179335,0.010594403453518133,0.11661772628146819,0.17661078502170202
12,0.8168590800762177,-0.04115719221532345,1.737960844039917,0.5231643402576447,-0.04115719221532345,1.737960844039917,-0.36445351085066796,2.4033585424423216,0.15516777814509353,0.7910116094702805,,False,0.9885047149658203,-0.04365770608186722,1.8041143369674684,0.10255149012459523,0.9889924573898315,-0.041296065971255305,1.7651652145385741,0.05361962559758709,0.5943720746040344,-0.8208332371711731,3.2992697811126708,0.00619579947124749,0.9892618131637573,-0.04115719221532345,1.737960844039917,0.6083122263565155,0.5231643402576447,-0.8753233528137208,3.4102825355529784,0.005159749175522346,0.06708401873649036,0.06063574030856041,0.04033920877760229,0.2388258292323164,0.025977357671729248
