number,value,datetime_start,datetime_complete,duration,params_sigma_scale_Prosody,params_sigma_scale_Scene,params_sigma_scale_Timbre,params_sigma_scale_Vocal_Tract,params_sigma_scale_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.802849292397499,2026-07-27 17:23:29.535788,2026-07-27 17:41:42.393495,0 days 00:18:12.857707,0.6446067917131442,0.01980941314259345,0.13781642084590057,0.2472010671271316,0.019811507008137993,0.40581311290499433,2.067146911621094,3.775487240791321,"{""Prosody"": {""alignment"": 0.9852783274650574, ""uniformity"": -0.059528019726276395, ""effective_rank"": 2.067146911621094, ""weight_entropy_ratio"": 0.8715696430612218}, ""Vocal_Tract"": {""alignment"": 0.984401421546936, ""uniformity"": -0.06288601040840149, ""effective_rank"": 2.098423047065735, ""weight_entropy_ratio"": 0.49793842264351823}, ""Timbre"": {""alignment"": 0.7258656263351441, ""uniformity"": -1.5500072813034058, ""effective_rank"": 6.435769100189209, ""weight_entropy_ratio"": 0.17377290314875352}, ""Voice_Quality"": {""alignment"": 0.9837245106697082, ""uniformity"": -0.05941887304186821, ""effective_rank"": 2.0674628448486327, ""weight_entropy_ratio"": 0.1057130072924171}, ""Scene"": {""alignment"": 0.3349765759706497, ""uniformity"": -1.3773861503601075, ""effective_rank"": 6.2086343002319335, ""weight_entropy_ratio"": 0.0027019634158386217}}",-0.05941887304186821,0.3349765759706497,2.067146911621094,-0.05941887304186821,-0.6218452669680119,0.3303391879123499,"[0.29047198027372356, 0.4328530883789061]",COMPLETE
1,0.9831218762397766,2026-07-27 17:41:46.274796,2026-07-27 17:59:52.802216,0 days 00:18:06.527420,0.44505240269526736,0.7011738775284215,0.22260034488269825,0.13930796876870888,0.010943951128356732,0.10517943155978948,1.8558964443206787,2.804419645309448,"{""Prosody"": {""alignment"": 0.9963391494750976, ""uniformity"": -0.01618207439780235, ""effective_rank"": 1.8803050327301025, ""weight_entropy_ratio"": 0.7649676885188709}, ""Vocal_Tract"": {""alignment"": 0.996471803188324, ""uniformity"": -0.015457289777696132, ""effective_rank"": 1.8558964443206787, ""weight_entropy_ratio"": 0.23069169248811572}, ""Timbre"": {""alignment"": 0.9438782906532288, ""uniformity"": -0.513827143907547, ""effective_rank"": 4.798018064498901, ""weight_entropy_ratio"": 0.401050991677377}, ""Voice_Quality"": {""alignment"": 0.996150324344635, ""uniformity"": -0.015686248764395713, ""effective_rank"": 1.8695434188842774, ""weight_entropy_ratio"": 0.04770090376896691}, ""Scene"": {""alignment"": 0.9827698135375976, ""uniformity"": -0.21041897296905518, ""effective_rank"": 3.6183352661132813, ""weight_entropy_ratio"": 0.8976758483548452}}",-0.015457289777696132,0.9438782906532288,1.8558964443206787,-0.015457289777696132,-0.1543143459632993,0.46841742496163513,"[0.33381792560219764, 0.6441035556793213]",COMPLETE
2,0.7503899866715074,2026-07-27 17:59:56.593971,2026-07-27 18:18:01.109846,0 days 00:18:04.515875,0.025357149746909252,0.09969163314376206,0.02233753707146985,0.022183459467487607,0.0379315304811478,0.8408205087604007,2.3425335025787355,3.507222295761108,"{""Prosody"": {""alignment"": 0.9515889191627502, ""uniformity"": -0.14387829691171647, ""effective_rank"": 2.561359853744507, ""weight_entropy_ratio"": 0.018620704434801846}, ""Vocal_Tract"": {""alignment"": 0.9216544342041015, ""uniformity"": -0.1973007145524025, ""effective_rank"": 2.7799910259246827, ""weight_entropy_ratio"": 0.005724486040138069}, ""Timbre"": {""alignment"": 0.16931414801627398, ""uniformity"": -1.3581461143493652, ""effective_rank"": 4.958514099121094, ""weight_entropy_ratio"": 0.0007566485741155874}, ""Voice_Quality"": {""alignment"": 0.969207227230072, ""uniformity"": -0.09965213552117348, ""effective_rank"": 2.3425335025787355, ""weight_entropy_ratio"": 0.19678978924289547}, ""Scene"": {""alignment"": 0.740185204744339, ""uniformity"": -1.3200928020477294, ""effective_rank"": 4.893712997436523, ""weight_entropy_ratio"": 0.14068086272034944}}",-0.09965213552117348,0.16931414801627398,2.3425335025787355,-0.09965213552117348,-0.6238140126764775,0.0725144982024601,"[0.2061217030882835, 0.1574664974212645]",COMPLETE
3,0.923001002073288,2026-07-27 18:18:05.291905,2026-07-27 18:36:23.550467,0 days 00:18:18.258562,0.03582904732228081,0.049798877730035475,0.01842762515380366,0.14601958757320885,0.035973074355814795,0.46034776771000996,1.5450997257232666,2.042178109169006,"{""Prosody"": {""alignment"": 0.9946975326538086, ""uniformity"": -0.02113324505276978, ""effective_rank"": 1.5471931552886964, ""weight_entropy_ratio"": 0.032854446603812676}, ""Vocal_Tract"": {""alignment"": 0.9948357129096985, ""uniformity"": -0.020134583571925758, ""effective_rank"": 1.5450997257232666, ""weight_entropy_ratio"": 0.2662651249378034}, ""Timbre"": {""alignment"": 0.7099507629871369, ""uniformity"": -0.2706384846568108, ""effective_rank"": 2.5514115142822265, ""weight_entropy_ratio"": 0.00023850763023895597}, ""Voice_Quality"": {""alignment"": 0.9947912359237671, ""uniformity"": -0.021397138368338346, ""effective_rank"": 1.5629027223587035, ""weight_entropy_ratio"": 0.18512545699284796}, ""Scene"": {""alignment"": 0.9207297658920288, ""uniformity"": -0.5839554142951965, ""effective_rank"": 3.0042834281921387, ""weight_entropy_ratio"": 0.03314176351519208}}",-0.020134583571925758,0.7099507629871369,1.5450997257232666,-0.020134583571925758,-0.18345177318900824,0.10352505993597902,"[0.3288667549472302, 0.9549002742767334]",COMPLETE
4,0.7631814349293708,2026-07-27 18:36:28.525615,2026-07-27 18:54:41.394197,0 days 00:18:12.868582,0.3120761001246059,0.012257426996771148,0.0951994437281987,0.023988173178435747,0.13409674439039196,0.4832664850061841,2.443584690093994,4.131356217384339,"{""Prosody"": {""alignment"": 0.9759799742698669, ""uniformity"": -0.09461416758596897, ""effective_rank"": 2.4655709505081176, ""weight_entropy_ratio"": 0.6257092122368721}, ""Vocal_Tract"": {""alignment"": 0.9439482402801513, ""uniformity"": -0.16748921021819116, ""effective_rank"": 2.867828674316406, ""weight_entropy_ratio"": 0.00510955302490142}, ""Timbre"": {""alignment"": 0.7109398198127747, ""uniformity"": -1.5503859949111938, ""effective_rank"": 6.486336936950684, ""weight_entropy_ratio"": 0.0842988290579252}, ""Voice_Quality"": {""alignment"": 0.9765470290184021, ""uniformity"": -0.09111592508852481, ""effective_rank"": 2.443584690093994, ""weight_entropy_ratio"": 0.4735391813201008}, ""Scene"": {""alignment"": 0.20849211126565934, ""uniformity"": -1.52359881401062, ""effective_rank"": 6.39345983505249, ""weight_entropy_ratio"": 0.0005543978671030373}}",-0.09111592508852481,0.20849211126565934,2.443584690093994,-0.09111592508852481,-0.6854408223628999,0.23784223470138052,"[0.255385832414031, 0.05641530990600607]",COMPLETE
5,0.9051938910484314,2026-07-27 18:54:46.680254,2026-07-27 19:12:52.992729,0 days 00:18:06.312475,0.02111167795251689,0.3455038560200077,0.6394617395245432,0.013298389079948765,0.6881524386672039,0.6271676093063665,2.351280436515808,3.407455164909363,"{""Prosody"": {""alignment"": 0.97720388174057, ""uniformity"": -0.090343047529459, ""effective_rank"": 2.4916240310668947, ""weight_entropy_ratio"": 0.012014322925128268}, ""Vocal_Tract"": {""alignment"": 0.8301018238067627, ""uniformity"": -0.3339790579676628, ""effective_rank"": 3.3774449920654295, ""weight_entropy_ratio"": 0.0014185562501123755}, ""Timbre"": {""alignment"": 0.8957657980918884, ""uniformity"": -0.9547639894485473, ""effective_rank"": 4.388168392181396, ""weight_entropy_ratio"": 0.9039462015514422}, ""Voice_Quality"": {""alignment"": 0.9822844219207764, ""uniformity"": -0.06761827796697617, ""effective_rank"": 2.351280436515808, ""weight_entropy_ratio"": 0.8503872549043077}, ""Scene"": {""alignment"": 0.8406135296821594, ""uniformity"": -1.09887099981308, ""effective_rank"": 4.428757972717285, ""weight_entropy_ratio"": 0.6380271900916572}}",-0.06761827796697617,0.8301018238067627,2.351280436515808,-0.06761827796697617,-0.509115074545145,0.4811587051445296,"[0.259656952470541, 0.14871956348419202]",COMPLETE
6,0.9273497648239137,2026-07-27 19:12:56.403171,2026-07-27 19:31:07.155790,0 days 00:18:10.752619,0.015341888502386696,0.08757219176818286,0.0688097220539007,0.20051968861243996,0.017070637605872362,0.33938308071470213,1.931946816444397,2.9809013624191287,"{""Prosody"": {""alignment"": 0.9775391697883606, ""uniformity"": -0.0787379128485918, ""effective_rank"": 2.1146315288543702, ""weight_entropy_ratio"": 0.007074066912737358}, ""Vocal_Tract"": {""alignment"": 0.9862855410575867, ""uniformity"": -0.053214491717517375, ""effective_rank"": 1.931946816444397, ""weight_entropy_ratio"": 0.3994240837953212}, ""Timbre"": {""alignment"": 0.8412632632255554, ""uniformity"": -0.8383920454978943, ""effective_rank"": 4.3087877178192135, ""weight_entropy_ratio"": 0.03396186172655737}, ""Voice_Quality"": {""alignment"": 0.975784273147583, ""uniformity"": -0.091154875010252, ""effective_rank"": 2.2062893104553223, ""weight_entropy_ratio"": 0.08560720586243692}, ""Scene"": {""alignment"": 0.8558765769004821, ""uniformity"": -0.8348557543754578, ""effective_rank"": 4.342851438522339, ""weight_entropy_ratio"": 0.11858266164168799}}",-0.053214491717517375,0.8412632632255554,1.931946816444397,-0.053214491717517375,-0.37927101588994266,0.12892997598774816,"[0.2712620871514082, 0.5680531835556031]",COMPLETE
7,0.9721140122413635,2026-07-27 19:31:10.855941,2026-07-27 19:49:21.373736,0 days 00:18:10.517795,0.537673400929284,0.09766439040435951,0.18232218861172397,0.031080041628153792,0.039193516226890844,0.08266909505945748,1.9340706205368041,3.322336379051208,"{""Prosody"": {""alignment"": 0.9846007227897644, ""uniformity"": -0.12665888234972955, ""effective_rank"": 2.3306308126449586, ""weight_entropy_ratio"": 0.8193704495144195}, ""Vocal_Tract"": {""alignment"": 0.986228210926056, ""uniformity"": -0.05731956891715526, ""effective_rank"": 2.1069303369522094, ""weight_entropy_ratio"": 0.009934408074295529}, ""Timbre"": {""alignment"": 0.9508224129676819, ""uniformity"": -0.5527677476406098, ""effective_rank"": 5.019058170318604, ""weight_entropy_ratio"": 0.3024556541464524}, ""Voice_Quality"": {""alignment"": 0.9912091040611267, ""uniformity"": -0.03434786736965179, ""effective_rank"": 1.9340706205368041, ""weight_entropy_ratio"": 0.1976629160959328}, ""Scene"": {""alignment"": 0.9477096104621887, ""uniformity"": -0.5971922588348388, ""effective_rank"": 5.220991954803467, ""weight_entropy_ratio"": 0.13725259416445432}}",-0.03434786736965179,0.9477096104621887,1.9340706205368041,-0.03434786736965179,-0.273657265022397,0.2933352043991109,"[0.2656521326303482, 0.5659293794631959]",COMPLETE
8,0.9040762786865235,2026-07-27 19:49:25.842499,2026-07-27 20:07:45.969453,0 days 00:18:20.126954,0.022479914927288545,0.5045880612021502,0.29863968217735326,0.7001753169203452,0.6136928005932464,0.5693747653761156,2.2356068897247314,3.509029729843139,"{""Prosody"": {""alignment"": 0.9481198692321777, ""uniformity"": -0.1761886052787304, ""effective_rank"": 2.810914249420166, ""weight_entropy_ratio"": 0.011269325409800374}, ""Vocal_Tract"": {""alignment"": 0.9785919332504273, ""uniformity"": -0.08215875931084156, ""effective_rank"": 2.279365940093994, ""weight_entropy_ratio"": 0.8755377843875688}, ""Timbre"": {""alignment"": 0.7686334824562073, ""uniformity"": -1.3680878925323485, ""effective_rank"": 5.370366401672364, ""weight_entropy_ratio"": 0.5816981570894268}, ""Voice_Quality"": {""alignment"": 0.9797331643104553, ""uniformity"": -0.0757527745515108, ""effective_rank"": 2.2356068897247314, ""weight_entropy_ratio"": 0.8256076588299005}, ""Scene"": {""alignment"": 0.8453029441833496, ""uniformity"": -1.0576095914840697, ""effective_rank"": 4.848895168304443, ""weight_entropy_ratio"": 0.7975164414294353}}",-0.0757527745515108,0.7686334824562073,2.2356068897247314,-0.0757527745515108,-0.5519595246315003,0.6183258734292264,"[0.22424722544848918, 0.2643931102752686]",COMPLETE
9,0.8561595046520232,2026-07-27 20:07:51.219621,2026-07-27 20:26:00.734582,0 days 00:18:09.514961,0.5680801652040023,0.04160378994089616,0.02360331612789734,0.014737003768595706,0.012191905861905931,0.6180049798705309,1.6239295101165772,2.717660661697388,"{""Prosody"": {""alignment"": 0.9969863629341126, ""uniformity"": -0.01258227152749896, ""effective_rank"": 1.6239295101165772, ""weight_entropy_ratio"": 0.8360430485849293}, ""Vocal_Tract"": {""alignment"": 0.9937072920799256, ""uniformity"": -0.025021532513201238, ""effective_rank"": 1.922427806854248, ""weight_entropy_ratio"": 0.0016081625601014936}, ""Timbre"": {""alignment"": 0.47731119513511655, ""uniformity"": -0.7102052879333496, ""effective_rank"": 4.0961521625518795, ""weight_entropy_ratio"": 0.0005931594580143774}, ""Voice_Quality"": {""alignment"": 0.9961262702941894, ""uniformity"": -0.015399591904133559, ""effective_rank"": 1.6891565132141113, ""weight_entropy_ratio"": 0.05685241914326361}, ""Scene"": {""alignment"": 0.8166664028167725, ""uniformity"": -0.913831331729889, ""effective_rank"": 4.2566373157501225, ""weight_entropy_ratio"": 0.024331508810568517}}",-0.01258227152749896,0.47731119513511655,1.6239295101165772,-0.01258227152749896,-0.33540800312161445,0.1838856597113754,"[0.337417728472501, 0.8760704898834228]",COMPLETE
